Player,Team,Year,Int,TD,Solo,Ast,Tot,Sack,Stat Type
Anthony Harris,UVA,2013,8,0,42,38,80,1.0,Defense
Jimmie Ward,NIU,2013,7,1,62,33,95,1.0,Defense
D'Joun Smith,FAU,2013,7,1,24,10,34,0.0,Defense
Justin Gilbert,OKST,2013,7,2,36,6,42,0.0,Defense
Derron Smith,FRES,2013,7,1,60,27,87,4.0,Defense
Lorenzo Doss,TULN,2013,7,2,25,9,34,0.0,Defense
Kendall Fuller,VT,2013,6,0,38,20,58,0.5,Defense
Donte Deayon,BSU,2013,6,0,40,14,54,0.0,Defense
Steven Nelson,ORST,2013,6,1,48,14,62,0.0,Defense
Robert Nelson,AZST,2013,6,1,44,13,57,0.0,Defense
Ricardo Allen,PUR,2013,6,0,42,11,53,1.0,Defense
Cody Prewitt,MISS,2013,6,0,50,21,71,0.0,Defense
Rashaad Reynolds,ORST,2013,6,0,38,23,61,1.0,Defense
Adrian McDonald,HOU,2013,6,0,55,44,99,0.0,Defense
Bobby McCain,MEM,2013,6,2,21,4,25,0.0,Defense
Deone Bucannon,WSU,2013,6,0,78,36,114,0.0,Defense
Blake Countess,MICH,2013,6,1,26,20,46,0.0,Defense
Brandon Facyson,VT,2013,5,0,20,7,27,0.0,Defense
Brian Suite,USU,2013,5,0,37,40,77,0.0,Defense
E.J. Gaines,MIZZ,2013,5,0,57,18,75,0.0,Defense
Marcus Peters,WASH,2013,5,0,44,11,55,1.0,Defense
Tre Boston,UNC,2013,5,0,49,45,94,0.0,Defense
Dion Bailey,USC,2013,5,0,46,16,62,1.0,Defense
Bene Benwikere,SJSU,2013,5,0,39,17,56,1.0,Defense
Shawn Jackson,TULS,2013,5,0,75,48,123,4.5,Defense
Nickoe Whitley,MSST,2013,5,0,38,17,55,0.0,Defense
Isaiah Johnson,KAN,2013,5,0,44,29,73,0.5,Defense
Kenny Ladler,VAN,2013,5,0,63,28,91,0.0,Defense
Cam Thomas,WKU,2013,5,0,32,9,41,1.0,Defense
Damon Magazu,ECU,2013,5,0,41,39,80,0.0,Defense
Marcus Trice,UNT,2013,5,0,49,42,91,1.0,Defense
Zachary McMillian,HOU,2013,5,0,38,15,53,0.0,Defense
Terrance Mitchell,ORE,2013,5,1,38,21,59,0.0,Defense
Jeffery Garrett,BALL,2013,5,0,38,14,52,1.0,Defense
Charles Gaines,LOU,2013,5,1,17,5,22,0.0,Defense
Sam Carter,TCU,2013,5,1,33,16,49,4.0,Defense
Kevin Byard,MTSU,2013,5,2,61,45,106,0.0,Defense
Damante Horton,WSU,2013,5,3,42,7,49,0.0,Defense
Jayron Kearse,CLEM,2013,4,0,29,12,41,0.0,Defense
Darian Thompson,BSU,2013,4,0,34,29,63,0.0,Defense
Xavier Hughes,OHIO,2013,4,0,37,24,61,0.0,Defense
Phillip Gaines,RICE,2013,4,0,24,12,36,0.0,Defense
Skai Moore,SCAR,2013,4,0,30,25,55,0.0,Defense
Sojourn Shelton,WISC,2013,4,0,31,5,36,0.0,Defense
Terell Floyd,LOU,2013,4,1,40,7,47,0.0,Defense
Trevon Stewart,HOU,2013,4,0,69,40,109,0.0,Defense
Jeremy Cash,DUKE,2013,4,0,64,57,121,0.0,Defense
Ibraheim Campbell,NW,2013,4,0,41,33,74,1.0,Defense
Darnell Walker,TULS,2013,4,0,39,13,52,0.0,Defense
A.J. Leggett,MRSH,2013,4,0,32,13,45,0.0,Defense
Trent Matthews,CSU,2013,4,0,30,39,69,1.0,Defense
Chi Chi Ariguzo,NW,2013,4,0,64,44,108,2.0,Defense
Ciante Evans,NEB,2013,4,1,31,14,45,3.0,Defense
C.J. Barnett,OSU,2013,4,0,56,28,84,0.0,Defense
James Morris,IOWA,2013,4,0,52,54,106,7.0,Defense
Sean Parker,WASH,2013,4,0,46,21,67,1.0,Defense
Caleb Lavey,OKST,2013,4,0,60,33,93,2.5,Defense
Sean Thomas,ULL,2013,4,0,44,19,63,0.0,Defense
David Mayo,TXST,2013,4,0,60,29,89,1.0,Defense
Darqueze Dennard,MSU,2013,4,0,33,29,62,0.0,Defense
Tyree Robinson,WKU,2013,4,0,30,12,42,0.0,Defense
Durell Eskridge,SYR,2013,4,0,52,26,78,0.5,Defense
Frank Crawford,UNLV,2013,4,0,31,23,54,0.0,Defense
Gabe Lynn,OKLA,2013,4,0,37,20,57,2.0,Defense
Bashaud Breeland,CLEM,2013,4,0,39,17,56,2.0,Defense
Breon Borders,DUKE,2013,4,0,14,12,26,0.0,Defense
Josh Shaw,USC,2013,4,1,43,24,67,0.0,Defense
Ishmael Adams,UCLA,2013,4,0,32,29,61,0.5,Defense
Su'a Cravens,USC,2013,4,0,39,14,53,0.0,Defense
Kurtis Drummond,MSU,2013,4,1,49,42,91,0.0,Defense
Tracy Howard,MIA,2013,4,1,22,13,35,0.0,Defense
Alden Darby,AZST,2013,4,1,54,18,72,0.0,Defense
Bryan Douglas,BSU,2013,4,1,23,12,35,0.0,Defense
Darwin Cook,WVU,2013,4,1,55,19,74,1.0,Defense
Nevin Lawson,USU,2013,4,1,33,24,57,0.0,Defense
Adairius Barnes,LT,2013,4,1,31,18,49,1.0,Defense
Raymon Taylor,MICH,2013,4,0,61,25,86,0.5,Defense
Christian Milstead,FAU,2013,4,1,22,14,36,0.0,Defense
Tra'Mayne Bondurant,ARIZ,2013,4,2,48,24,72,2.0,Defense
Brian Randolph,TENN,2013,4,0,49,26,75,0.0,Defense
Greg Henderson,COL,2013,4,1,46,12,58,0.0,Defense
Nate Andrews,FSU,2013,4,1,24,11,35,1.0,Defense
Robenson Therezie,AUB,2013,4,1,37,20,57,0.0,Defense
Travis Carrie,OHIO,2013,4,2,31,11,42,1.0,Defense
Dante Barnett,KSST,2013,4,0,57,18,75,0.0,Defense
Stanley Jean-Baptiste,NEB,2013,4,1,27,14,41,1.0,Defense
Isaiah Newsome,ULM,2013,4,2,31,17,48,0.0,Defense
Jalen Mills,LSU,2013,3,0,45,22,67,3.0,Defense
Brice Abraham,LT,2013,3,0,17,5,22,0.0,Defense
Brandon Alexander,UCF,2013,3,0,36,27,63,1.0,Defense
Donald Celiscar,WMU,2013,3,0,34,25,59,0.0,Defense
Brendon Clements,NAVY,2013,3,0,39,10,49,0.0,Defense
Ifo Ekpre-Olomu,ORE,2013,3,0,54,30,84,0.0,Defense
