Player,Year,Team,Stat Type
Roberto Aguayo,2013,FSU,Kicking
Zane Gonzalez,2013,AZST,Kicking
Aaron Jones,2013,BAY,Kicking
Ryan Bustin,2013,TTU,Kicking
Jared Roberts,2013,CSU,Kicking
Andrew Baggett,2013,MIZZ,Kicking
Michael Hunnicutt,2013,OKLA,Kicking
Scott Secor,2013,BALL,Kicking
Marshall Morgan,2013,UGA,Kicking
Tyler Tate,2013,BGSU,Kicking
Shawn Moffitt,2013,UCF,Kicking
Mathew Sims,2013,NIU,Kicking
John Wallace,2013,LOU,Kicking
Cody Parkey,2013,AUB,Kicking
Justin Haig,2013,MRSH,Kicking
Dan Goodale,2013,BSU,Kicking
Justin Sorensen,2013,BYU,Kicking
Travis Coons,2013,WASH,Kicking
Warren Harvey,2013,ECU,Kicking
Anthony Fera,2013,TEX,Kicking
Austin Lopez,2013,SJSU,Kicking
Drew Basil,2013,OSU,Kicking
Jeff Budzien,2013,NW,Kicking
Colin McGuire,2013,FRES,Kicking
Nick Diaz,2013,USU,Kicking
Jeremiah Detmer,2013,TOL,Kicking
Ka'imi Fairbairn,2013,UCLA,Kicking
Brad Craddock,2013,MD,Kicking
Nate Freese,2013,BC,Kicking
Ben Grogan,2013,OKST,Kicking
Chandler Catanzaro,2013,CLEM,Kicking
Elliott Fry,2013,SCAR,Kicking
Kyle Brindza,2013,ND,Kicking
Andrew Furney,2013,WSU,Kicking
Ross Martin,2013,DUKE,Kicking
Jordan Williamson,2013,STAN,Kicking
Cade Foster,2013,ALA,Kicking
Matt Goudis,2013,MIA,Kicking
Colby Delahoussaye,2013,LSU,Kicking
Andre Heidari,2013,USC,Kicking
Carey Spear,2013,VAN,Kicking
Andy Phillips,2013,UTAH,Kicking
Trevor Romaine,2013,ORST,Kicking
Brian Davis,2013,ARST,Kicking
Aleem Sunanon,2013,USA,Kicking
Andrew Ritter,2013,MISS,Kicking
Chris Boswell,2013,RICE,Kicking
Brendan Gibbons,2013,MICH,Kicking
Mike Meyer,2013,IOWA,Kicking
Jake Smith,2013,ARIZ,Kicking
Thomas Moore,2013,UNC,Kicking
Niklas Sade,2013,NCST,Kicking
Chase Hover,2013,SMU,Kicking
Sam Ficken,2013,PSU,Kicking
Josh Lambert,2013,WVU,Kicking
Cairo Santos,2013,TULN,Kicking
Patrick Clarke,2013,BUFF,Kicking
Garrett Schwettman,2013,WKU,Kicking
Nick Sloan,2013,NAVY,Kicking
Harrison Butker,2013,GT,Kicking
Cody Clark,2013,MTSU,Kicking
Mitch Ewald,2013,IND,Kicking
Ty Long,2013,UAB,Kicking
Chris Blewitt,2013,PITT,Kicking
Vincenzo D'Amato,2013,CAL,Kicking
Will Scott,2013,TROY,Kicking
Michael Geiger,2013,MSU,Kicking
Will Oliver,2013,COL,Kicking
Jaden Oberkrom,2013,TCU,Kicking
Pat Smith,2013,NEB,Kicking
Chris Hawthorne,2013,MINN,Kicking
Zach Paul,2013,UNT,Kicking
Stephen Brauchle,2013,ULL,Kicking
Michael Palardy,2013,TENN,Kicking
Nolan Kohorst,2013,UNLV,Kicking
Tony Miliano,2013,CINN,Kicking
Brent Zuzo,2013,NEV,Kicking
Josh Lambo,2013,TAMU,Kicking
Taylor Zalewski,2013,ILL,Kicking
Justus Adams,2013,UNM,Kicking
Jack Cantele,2013,KSST,Kicking
Carl Salazar,2013,TULS,Kicking
Jake Elliott,2013,MEM,Kicking
Cole Netten,2013,IAST,Kicking
Josiah Yazdani,2013,OHIO,Kicking
Sean Ianno,2013,UTSA,Kicking
Kyle Federico,2013,RUT,Kicking
Ron Coluzzi,2013,CMU,Kicking
Marvin Kloss,2013,USF,Kicking
Mitch Anderson,2013,FAU,Kicking
Andrew Haldeman,2013,WMU,Kicking
Zach Hocker,2013,ARK,Kicking
Will Conant,2013,AF,Kicking
Richie Leone,2013,HOU,Kicking
Joe Mansour,2013,KY,Kicking
Matt Wogan,2013,ORE,Kicking
Jack Russell,2013,WISC,Kicking
Daniel Grochowski,2013,ARMY,Kicking
Stuart Williams,2013,WYO,Kicking
Corey Acosta,2013,USM,Kicking
Jaden Oberkrom,2014,TCU,Kicking
Roberto Aguayo,2014,FSU,Kicking
Josh Lambert,2014,WVU,Kicking
Justin Haig,2014,MRSH,Kicking
Chris Callahan,2014,BAY,Kicking
Sean Nuernberger,2014,OSU,Kicking
Jake Elliott,2014,MEM,Kicking
Garrett Schwettman,2014,WKU,Kicking
Casey Skowron,2014,ARIZ,Kicking
Rafael Gaglianone,2014,WISC,Kicking
Zane Gonzalez,2014,AZST,Kicking
Dan Goodale,2014,BSU,Kicking
Marshall Morgan,2014,UGA,Kicking
Michael Geiger,2014,MSU,Kicking
Tyler Tate,2014,BGSU,Kicking
Andy Phillips,2014,UTAH,Kicking
Daniel Carlson,2014,AUB,Kicking
Scott Secor,2014,BALL,Kicking
Jeremiah Detmer,2014,TOL,Kicking
Ross Martin,2014,DUKE,Kicking
Cameron Van Winkle,2014,WASH,Kicking
Ben Grogan,2014,OKST,Kicking
Ammon Lakip,2014,CLEM,Kicking
Elliott Fry,2014,SCAR,Kicking
Austin MacGinnis,2014,KY,Kicking
Will Conant,2014,AF,Kicking
Aaron Medley,2014,TENN,Kicking
Drew Brown,2014,NEB,Kicking
Ka'imi Fairbairn,2014,UCLA,Kicking
Sam Ficken,2014,PSU,Kicking
Ian Frye,2014,UVA,Kicking
Andrew Gantz,2014,CINN,Kicking
Warren Harvey,2014,ECU,Kicking
Michael Hunnicutt,2014,OKLA,Kicking
Chris Blewitt,2014,PITT,Kicking
Harrison Butker,2014,GT,Kicking
Brad Craddock,2014,MD,Kicking
Josh Lambo,2014,TAMU,Kicking
Trevor Samson,2014,BYU,Kicking
Andrew Baggett,2014,MIZZ,Kicking
