Player,Year,Team,Stat Type
Sean Riley,2016,SYR,Kickoff Return
Tony Pollard,2016,MEM,Kickoff Return
Kylen Towner,2016,WKU,Kickoff Return
Shaun Wilson,2016,DUKE,Kickoff Return
Kerrith Whyte,2016,FAU,Kickoff Return
Quadree Henderson,2016,PITT,Kickoff Return
Kene Nwangwu,2016,IAST,Kickoff Return
Charles Nelson,2016,ORE,Kickoff Return
Chris Montgomery,2016,CHAR,Kickoff Return
Paul Harris,2016,HAW,Kickoff Return
Darius Phillips,2016,WMU,Kickoff Return
Carlos Henderson,2016,LT,Kickoff Return
Devonte Williams,2016,IND,Kickoff Return
Nyheim Hines,2016,NCST,Kickoff Return
Aregeros Turner,2016,NIU,Kickoff Return
Adoree' Jackson,2016,USC,Kickoff Return
Carlos Davis,2016,MISS,Kickoff Return
Desmond King,2016,IOWA,Kickoff Return
Ishmael Adams,2016,UCLA,Kickoff Return
Isaiah Rodgers,2016,MASS,Kickoff Return
Darrius Sims,2016,VAN,Kickoff Return
C.J. Sanders,2016,ND,Kickoff Return
Tim White,2016,AZST,Kickoff Return
Tyler Wilson,2016,UNT,Kickoff Return
Dishan Romine,2016,NAVY,Kickoff Return
T.J. Logan,2016,UNC,Kickoff Return
Miles Sanders,2016,PSU,Kickoff Return
Joe Reed,2016,UVA,Kickoff Return
Corey Jones,2016,TOL,Kickoff Return
Byron Pringle,2016,KSST,Kickoff Return
Shelton Gibson,2016,WVU,Kickoff Return
Rashaad Penny,2016,SDSU,Kickoff Return
Keion Davis,2016,MRSH,Kickoff Return
LaQuvionte Gonzalez,2016,KAN,Kickoff Return
Kermit Whitfield,2016,FSU,Kickoff Return
Parris Campbell,2016,OSU,Kickoff Return
Khalfani Muhammad,2016,CAL,Kickoff Return
KeVonn Mabon,2016,BALL,Kickoff Return
Darrynton Evans,2016,APST,Kickoff Return
Solomon Vault,2016,NW,Kickoff Return
Jabir Daughtry-Frye,2016,TROY,Kickoff Return
Maurice Thomas,2016,MIOH,Kickoff Return
Victor Bolden,2016,ORST,Kickoff Return
Kendrick Foster,2016,ILL,Kickoff Return
Rahshead Johnson,2016,SJSU,Kickoff Return
Rodney Adams,2016,USF,Kickoff Return
