Player,Year,Team,Stat Type
Austin Seibert,2017,OKLA,Kickoff
Greg Joseph,2017,FAU,Kickoff
JK Scott,2017,ALA,Kickoff
Matt Ammendola,2017,OKST,Kickoff
Matthew Wright,2017,UCF,Kickoff
Rodrigo Blankenship,2017,UGA,Kickoff
Daniel Carlson,2017,AUB,Kickoff
Lucas Havrisik,2017,ARIZ,Kickoff
Cole Bunce,2017,TCU,Kickoff
Tyler Davis,2017,PSU,Kickoff
Aidan Schneider,2017,ORE,Kickoff
Michael Farkas,2017,OHIO,Kickoff
Jake Bailey,2017,STAN,Kickoff
Emilio Nadelman,2017,USF,Kickoff
Joel Velazquez,2017,BSU,Kickoff
Braxton Davis,2017,CSU,Kickoff
JJ Molson,2017,UCLA,Kickoff
Blake Haubeil,2017,OSU,Kickoff
Trevor Moore,2017,UNT,Kickoff
Tucker McCann,2017,MIZZ,Kickoff
Blanton Creque,2017,LOU,Kickoff
Mike Weaver,2017,WF,Kickoff
Jameson Vest,2017,TOL,Kickoff
Michael Rubino,2017,APST,Kickoff
Jonathan Barnes,2017,LT,Kickoff
Jimmy Camacho,2017,FRES,Kickoff
Zach Hintze,2017,WISC,Kickoff
Logan Tyler,2017,FSU,Kickoff
Michael Badgley,2017,MIA,Kickoff
John Baron II,2017,SDSU,Kickoff
Michael Barden,2017,TTU,Kickoff
Brandon Ruiz,2017,AZST,Kickoff
Luke Logan,2017,MISS,Kickoff
Sawyer Williams,2017,ARST,Kickoff
Kyle Bambard,2017,NCST,Kickoff
Logan Cooke,2017,MSST,Kickoff
Evan Staley,2017,WVU,Kickoff
Braden Mann,2017,TAMU,Kickoff
Spencer Smith,2017,MEM,Kickoff
Tristan Vizcaino,2017,WASH,Kickoff
Dominik Eberle,2017,USU,Kickoff
Miguel Recinos,2017,IOWA,Kickoff
Briggs Bourgeois,2017,USM,Kickoff
James Foug,2017,MICH,Kickoff
Joshua Rowland,2017,TEX,Kickoff
Matthew Wylie,2017,ULM,Kickoff
