Player,Team,Year,Att,Cmp,Pct,Yds,TD,TD%,Int,Sack,Rate,Stat Type
Derek Carr,FRES,2013,659,453,68.7,"5,082",50,7.6,8,11,156.1,Passing
Sean Mannion,ORST,2013,603,400,66.3,"4,662",37,6.1,15,25,146.6,Passing
Connor Halliday,WSU,2013,714,449,62.9,"4,597",34,4.8,22,31,126.5,Passing
Bryce Petty,BAY,2013,403,250,62.0,"4,200",32,7.9,3,17,174.3,Passing
David Fales,SJSU,2013,487,312,64.1,"4,189",33,6.8,13,19,153.3,Passing
Keith Wenning,BALL,2013,498,319,64.1,"4,148",35,7.0,7,13,154.4,Passing
Shane Carden,ECU,2013,549,387,70.5,"4,139",33,6.0,10,29,150.0,Passing
Johnny Manziel,TAMU,2013,429,300,69.9,"4,114",37,8.6,13,19,172.9,Passing
Jameis Winston,FSU,2013,384,257,66.9,"4,057",40,10.4,10,27,184.8,Passing
Teddy Bridgewater,LOU,2013,427,303,71.0,"3,970",31,7.3,4,23,171.1,Passing
Rakeem Cato,MRSH,2013,499,298,59.7,"3,916",39,7.8,9,25,147.8,Passing
Tajh Boyd,CLEM,2013,413,283,68.5,"3,851",34,8.2,11,32,168.7,Passing
Garrett Grayson,CSU,2013,478,297,62.1,"3,696",23,4.8,11,21,138.4,Passing
Marcus Mariota,ORE,2013,386,245,63.5,"3,665",31,8.0,4,18,167.7,Passing
Taylor Kelly,AZST,2013,484,302,62.4,"3,635",28,5.8,12,39,139.6,Passing
Blake Bortles,UCF,2013,382,259,67.8,"3,581",25,6.5,9,21,163.4,Passing
Garrett Gilbert,SMU,2013,504,335,66.5,"3,528",21,4.2,7,26,136.2,Passing
Jared Goff,CAL,2013,531,320,60.3,"3,508",18,3.4,10,30,123.2,Passing
Matt Johnson,BGSU,2013,369,237,64.2,"3,467",25,6.8,7,40,161.7,Passing
Brett Smith,WYO,2013,467,293,62.7,"3,375",29,6.2,11,25,139.2,Passing
Bo Wallace,MISS,2013,437,283,64.8,"3,346",18,4.1,10,24,138.1,Passing
Brendon Kay,CINN,2013,395,262,66.3,"3,302",22,5.6,12,15,148.9,Passing
