Player,Year,Team,Stat Type
De'Mornay Pierson-El,2014,NEB,Punt Return
Tyler Lockett,2014,KSST,Punt Return
Cameron Echols-Luper,2014,TCU,Punt Return
Kaelin Clay,2014,UTAH,Punt Return
Andre Debose,2014,FLA,Punt Return
Richard Leonard,2014,FIU,Punt Return
JoJo Natson,2014,USU,Punt Return
Dante Pettis,2014,WASH,Punt Return
J.J Nelson,2014,UAB,Punt Return
Marcus Murphy,2014,MIZZ,Punt Return
Jamison Crowder,2014,DUKE,Punt Return
Lucky Whitehead,2014,FAU,Punt Return
Tre'Davious White,2014,LSU,Punt Return
Quan Bray,2014,AUB,Punt Return
Keiwone Malone,2014,MEM,Punt Return
Tyreek Hill,2014,OKST,Punt Return
Kenzel Doe,2014,WISC,Punt Return
Jalin Marshall,2014,OSU,Punt Return
Greg Stroman,2014,VT,Punt Return
Ty Montgomery,2014,STAN,Punt Return
Blaise Taylor,2014,ARST,Punt Return
Darvin Kidsy,2014,UNT,Punt Return
Isaiah McKenzie,2014,UGA,Punt Return
Scott Harding,2014,HAW,Punt Return
Tommy Shuler,2014,MRSH,Punt Return
William Likely,2014,MD,Punt Return
Lloyd Mills,2014,SDSU,Punt Return
Nelson Agholor,2014,USC,Punt Return
Ishmael Adams,2014,UCLA,Punt Return
Jaxon Shipley,2014,TEX,Punt Return
Speedy Noil,2014,TAMU,Punt Return
Demarco Robinson,2014,KY,Punt Return
Adam Humphries,2014,CLEM,Punt Return
J.J. Worton,2014,UCF,Punt Return
Ryan Switzer,2014,UNC,Punt Return
Frankie Williams,2014,PUR,Punt Return
Charles Nelson,2014,ORE,Punt Return
Trent Taylor,2014,LT,Punt Return
Richy Turner,2014,NEV,Punt Return
Tyler Boyd,2014,PITT,Punt Return
Rashad Greene,2014,FSU,Punt Return
Cameron Sutton,2014,TENN,Punt Return
Damian Payne,2014,UTEP,Punt Return
Nick Harwell,2014,KAN,Punt Return
Christian McCaffrey,2014,STAN,Punt Return
Shane Williams-Rhodes,2014,BSU,Punt Return
Corey Jones,2014,TOL,Punt Return
Christion Jones,2014,ALA,Punt Return
Chad Beebe,2014,NIU,Punt Return
Rickey Galvin,2014,WSU,Punt Return
James Quick,2014,LOU,Punt Return
Jalen Claiborne,2014,WYO,Punt Return
Craig James,2014,MINN,Punt Return
Johnathan Loyd,2014,ORE,Punt Return
Dontre Wilson,2014,OSU,Punt Return
Daz'mond Patterson,2014,OHIO,Punt Return
Davonte' Neal,2014,ARIZ,Punt Return
Jared Crump,2014,WF,Punt Return
Ed'Marques Batties,2014,MTSU,Punt Return
Jesse Della Valle,2014,PSU,Punt Return
Ryan Burbrink,2014,BGSU,Punt Return
Sherman Alston,2014,BC,Punt Return
Craig Mager,2014,TXST,Punt Return
V'Angelo Bentley,2014,ILL,Punt Return
Macgarrett Kings,2014,MSU,Punt Return
D.J. Dean,2014,ARK,Punt Return
Kenny Harrison,2014,UTSA,Punt Return
Elijah McGuire,2014,ULL,Punt Return
Jarvis West,2014,IAST,Punt Return
Khalek Shepherd,2014,UVA,Punt Return
Rashon Ceaser,2014,ULM,Punt Return
Eli Rogers,2014,LOU,Punt Return
Antonio Vaughan,2014,ODU,Punt Return
Khalif Herbin,2014,TEM,Punt Return
Joe Craig,2014,MEM,Punt Return
Stacy Coley,2014,MIA,Punt Return
Tim Hough,2014,UNLV,Punt Return
Chris Harper,2014,CAL,Punt Return
Derron Smith,2014,FRES,Punt Return
LeKendrick Williams,2014,FRES,Punt Return
Markell Pack,2014,MISS,Punt Return
Reggie Davis,2014,UGA,Punt Return
Cody Riggs,2014,ND,Punt Return
Justin Hardy,2014,ECU,Punt Return
Greg Bryant,2014,ND,Punt Return
Donte Deayon,2014,BSU,Punt Return
Jared Cornelius,2014,ARK,Punt Return
Nelson Spruce,2014,COL,Punt Return
Tray Butler,2014,GSU,Punt Return
Cooper Harrington,2014,USM,Punt Return
Cyrus Jones,2014,ALA,Punt Return
Matt VandeBerg,2014,IOWA,Punt Return
Tyler Ervin,2014,SJSU,Punt Return
Deshon Foxx,2014,CONN,Punt Return
Conner Floyd,2014,TULS,Punt Return
Shaq Washington,2014,CINN,Punt Return
Donovan Harden,2014,GAST,Punt Return
Bryce Callahan,2014,RICE,Punt Return
Kevin Byard,2014,MTSU,Punt Return
Fred Ross,2014,MSST,Punt Return
Dante Pettis,2017,WASH,Punt Return
Blaise Taylor,2017,ARST,Punt Return
Greg Stroman,2017,VT,Punt Return
Michael Walker,2017,BC,Punt Return
Donovan Peoples-Jones,2017,MICH,Punt Return
DeAndre Thompkins,2017,PSU,Punt Return
Avery Williams,2017,BSU,Punt Return
Travonne Hobbs,2017,UTAH,Punt Return
Mecole Hardman,2017,UGA,Punt Return
J-Shun Harris II,2017,IND,Punt Return
KaVontae Turpin,2017,TCU,Punt Return
Ray Ray McCloud,2017,CLEM,Punt Return
D.J. Reed,2017,KSST,Punt Return
Quadree Henderson,2017,PITT,Punt Return
Mike Hughes,2017,UCF,Punt Return
Austin Conway,2017,WYO,Punt Return
Richaud Floyd,2017,MIZZ,Punt Return
Darrell Brown,2017,ODU,Punt Return
Braxton Berrios,2017,MIA,Punt Return
Nick Nelson,2017,WISC,Punt Return
D.J. Matthews,2017,FSU,Punt Return
Jordan Nathan,2017,USU,Punt Return
Quest Truxton,2017,SDSU,Punt Return
Christian Kirk,2017,TAMU,Punt Return
D.J. Chark,2017,LSU,Punt Return
Shun Brown,2017,ARIZ,Punt Return
Trever Ryen,2017,IAST,Punt Return
Reggie Hemphill-Mapps,2017,TEX,Punt Return
M.J. Stewart,2017,UNC,Punt Return
Andre Wilson,2017,UAB,Punt Return
Greg Dortch,2017,WF,Punt Return
Danzel McKinley-Lewis,2017,TOL,Punt Return
Chris Finke,2017,ND,Punt Return
Trevon Diggs,2017,ALA,Punt Return
D.J. Moore,2017,MD,Punt Return
Ryheem Malone,2017,LA,Punt Return
K.J. Hill,2017,OSU,Punt Return
Chris Lammons,2017,SCAR,Punt Return
Nyheim Hines,2017,NCST,Punt Return
Sean Riley,2017,SYR,Punt Return
Hutch White,2017,TXST,Punt Return
Olabisi Johnson,2017,CSU,Punt Return
Marcus Jones,2017,TROY,Punt Return
Jaelon Darden,2017,UNT,Punt Return
Stephen Roberts,2017,AUB,Punt Return
Michael Shelton,2017,BYU,Punt Return
Chris Jones,2017,CCU,Punt Return
Jalen Young,2017,FAU,Punt Return
Isaiah Wright,2017,TEM,Punt Return
Marquez Callaway,2017,TENN,Punt Return
Janarion Grant,2017,RUT,Punt Return
Brad Stewart,2017,GT,Punt Return
Deddrick Thomas,2017,MSST,Punt Return
Marcus Milton,2017,BGSU,Punt Return
Darius Phillips,2017,WMU,Punt Return
Diontae Johnson,2017,TOL,Punt Return
Jessie Bates,2017,WF,Punt Return
Thomas Hennigan,2017,APST,Punt Return
John Williams,2017,MEM,Punt Return
Marcus Green,2017,ULM,Punt Return
Marcus Simms,2017,WVU,Punt Return
Daniel Hamm,2017,UVA,Punt Return
Ronnie Blackmon,2017,COL,Punt Return
Myles Campbell,2017,GSU,Punt Return
Devin Gray,2017,CINN,Punt Return
Charles Walker,2017,KY,Punt Return
Teddy Veal,2017,LT,Punt Return
Darius Tice,2017,USF,Punt Return
De'Mornay Pierson-El,2017,NEB,Punt Return
Allenzae Staggers,2017,USM,Punt Return
T.J. Rahming,2017,DUKE,Punt Return
Cameron Batson,2017,TTU,Punt Return
Luke Timian,2017,IND,Punt Return
Michael Pittman Jr.,2017,USC,Punt Return
Dillon Mitchell,2017,ORE,Punt Return
Desmon White,2017,TCU,Punt Return
Earnest Patterson,2017,LA,Punt Return
Vic Wharton,2017,CAL,Punt Return
Clifton Duck,2017,APST,Punt Return
Kalija Lipscomb,2017,VAN,Punt Return
K.J. Osborn,2017,BUFF,Punt Return
Xavian Marks,2017,ALA,Punt Return
Reggie Bonnafon,2017,LOU,Punt Return
Nate Mullen,2017,CHAR,Punt Return
Dominique Heath,2017,KSST,Punt Return
Riley Lees,2017,NW,Punt Return
David Ungerer,2017,IDHO,Punt Return
CeeDee Lamb,2017,OKLA,Punt Return
Steven Sims Jr.,2017,KAN,Punt Return
Kylan Nelson,2017,OHIO,Punt Return
Austin Trammell,2017,RICE,Punt Return
Matt VandeBerg,2017,IOWA,Punt Return
Corey Lacanaria,2017,BALL,Punt Return
Adarius Pickett,2017,UCLA,Punt Return
Ajene Harris,2017,USC,Punt Return
Papi White,2017,OHIO,Punt Return
Larry Rose III,2017,NMST,Punt Return
Rashaad Penny,2017,SDSU,Punt Return
Tony Nicholson,2017,BAY,Punt Return
Trenton Irwin,2017,STAN,Punt Return
Ryan Switzer,2013,UNC,Punt Return
Jamison Crowder,2013,DUKE,Punt Return
Brelan Chancellor,2013,UNT,Punt Return
Devon Smith,2013,MRSH,Punt Return
Josh Stewart,2013,OKST,Punt Return
JoJo Natson,2013,USU,Punt Return
Nelson Agholor,2013,USC,Punt Return
Christion Jones,2013,ALA,Punt Return
Chris Davis,2013,AUB,Punt Return
Kevonte Martin-Manley,2013,IOWA,Punt Return
Jalen Saunders,2013,OKLA,Punt Return
Andy Erickson,2013,TXST,Punt Return
Bralon Addison,2013,ORE,Punt Return
Travis Carrie,2013,OHIO,Punt Return
Isaiah Burse,2013,FRES,Punt Return
J.D. Falslev,2013,BYU,Punt Return
Kenny Shaw,2013,FSU,Punt Return
Rashard Smith,2013,NCST,Punt Return
Levi Norwood,2013,BAY,Punt Return
Shane Williams-Rhodes,2013,BSU,Punt Return
Geoff Norwood,2013,UTAH,Punt Return
Justin Hardy,2013,ECU,Punt Return
Stacy Coley,2013,MIA,Punt Return
Adam Humphries,2013,CLEM,Punt Return
Tim Vizzi,2013,SDSU,Punt Return
Macgarrett Kings,2013,MSU,Punt Return
William Likely,2013,MD,Punt Return
Robert Nelson,2013,AZST,Punt Return
V'Angelo Bentley,2013,ILL,Punt Return
Leon Brooks,2013,WSU,Punt Return
Cameron Echols-Luper,2013,TCU,Punt Return
Robert Lohnes,2013,FAU,Punt Return
Tramaine Thompson,2013,KSST,Punt Return
Connor Embree,2013,KAN,Punt Return
Corey Brown,2013,OSU,Punt Return
Scott Harding,2013,HAW,Punt Return
Daje Johnson,2013,TEX,Punt Return
Odell Beckham Jr.,2013,LSU,Punt Return
Joe Hansley,2013,CSU,Punt Return
Keiwone Malone,2013,MEM,Punt Return
J.J. Worton,2013,UCF,Punt Return
Darryl Surgent,2013,ULL,Punt Return
Tyree Simmons,2013,CSU,Punt Return
Janarion Grant,2013,RUT,Punt Return
Jesse Della Valle,2013,PSU,Punt Return
Spiffy Evans,2013,BC,Punt Return
Jarvis West,2013,IAST,Punt Return
Trey Dudley-Giles,2013,MASS,Punt Return
Trey Watts,2013,TULS,Punt Return
Marcus Murphy,2013,MIZZ,Punt Return
J.D. McKissic,2013,ARST,Punt Return
Dominique Terrell,2013,UVA,Punt Return
Kyshoen Jarrett,2013,VT,Punt Return
Jaxon Shipley,2013,TEX,Punt Return
Marcus Roberson,2013,FLA,Punt Return
Brisly Estime,2013,SYR,Punt Return
Rashon Ceaser,2013,ULM,Punt Return
Albert Wilson,2013,GAST,Punt Return
DeAndre Smelter,2013,GT,Punt Return
Andre Sims,2013,MSU,Punt Return
Dezmon Epps,2013,IDHO,Punt Return
Titus Davis,2013,CMU,Punt Return
Kenzel Doe,2013,WISC,Punt Return
Marcus Jones,2013,MINN,Punt Return
Shaquelle Evans,2013,UCLA,Punt Return
Demarco Robinson,2013,KY,Punt Return
Bryce Callahan,2013,RICE,Punt Return
Johnny Jackson,2013,ARIZ,Punt Return
Ritchy Desir,2013,SYR,Punt Return
Fred McRae,2013,MIOH,Punt Return
Brandon Carter,2013,TCU,Punt Return
Donte Deayon,2013,BSU,Punt Return
TJ Jones,2013,ND,Punt Return
Sam Miller,2013,FIU,Punt Return
Bryan Holmes,2013,TROY,Punt Return
Ryan Burbrink,2013,BGSU,Punt Return
Joseph Huber,2013,NEV,Punt Return
Kyle Griswould,2013,MTSU,Punt Return
Shane Wynn,2013,IND,Punt Return
Kevin Weatherspoon,2013,PITT,Punt Return
Chris Dunkley,2013,USF,Punt Return
JaBryce Taylor,2013,SMU,Punt Return
A.J. Sebastiano,2013,NIU,Punt Return
Antonio Andrews,2013,WKU,Punt Return
Sadale Foster,2013,TTU,Punt Return
Jared Abbrederis,2013,WISC,Punt Return
Devin Boutte,2013,TULN,Punt Return
Dareyon Chance,2013,WMU,Punt Return
Jeff Scott,2013,MISS,Punt Return
Jesus Wilson,2013,FSU,Punt Return
T.J. Glover,2013,USA,Punt Return
J.J Nelson,2013,UAB,Punt Return
Jim Jones,2013,UTEP,Punt Return
Frankie Williams,2013,PUR,Punt Return
Miles Osei,2013,ILL,Punt Return
Jamill Smith,2013,BALL,Punt Return
Shaq Washington,2013,CINN,Punt Return
Bubba Poole,2013,UTAH,Punt Return
Eli Rogers,2013,LOU,Punt Return
Tim Smith,2013,UVA,Punt Return
Cyrus Jones,2015,ALA,Punt Return
Cameron Sutton,2015,TENN,Punt Return
Antonio Callaway,2015,FLA,Punt Return
William Likely,2015,MD,Punt Return
Jalin Marshall,2015,OSU,Punt Return
Bra'Lon Cherry,2015,NCST,Punt Return
Christian Kirk,2015,TAMU,Punt Return
Blaise Taylor,2015,ARST,Punt Return
Ryan Switzer,2015,UNC,Punt Return
Demarcus Ayers,2015,HOU,Punt Return
Derek Keaton,2015,GSU,Punt Return
Brisly Estime,2015,SYR,Punt Return
Dante Pettis,2015,WASH,Punt Return
Joe Hansley,2015,CSU,Punt Return
Andrew Rodriguez,2015,USU,Punt Return
Adoree' Jackson,2015,USC,Punt Return
Britain Covey,2015,UTAH,Punt Return
Desmond King,2015,IOWA,Punt Return
Greg Stroman,2015,VT,Punt Return
V'Angelo Bentley,2015,ILL,Punt Return
Tre'Davious White,2015,LSU,Punt Return
Daje Johnson,2015,TEX,Punt Return
Jaire Alexander,2015,LOU,Punt Return
Teddy Ruben,2015,TROY,Punt Return
Isaiah McKenzie,2015,UGA,Punt Return
Allen Lazard,2015,IAST,Punt Return
Ryan Smith,2015,DUKE,Punt Return
DeAndre Reaves,2015,MRSH,Punt Return
Mitchell Paige,2015,IND,Punt Return
Tajee Fullwood,2015,USF,Punt Return
Sean Chandler,2015,TEM,Punt Return
Jabrill Peppers,2015,MICH,Punt Return
Corey Jones,2015,TOL,Punt Return
Brandon McDowell,2015,TXST,Punt Return
C.J. Sanders,2015,ND,Punt Return
KaVontae Turpin,2015,TCU,Punt Return
DeAndre Thompkins,2015,PSU,Punt Return
Janarion Grant,2015,RUT,Punt Return
Alex Erickson,2015,WISC,Punt Return
Quay Johnson,2015,ECU,Punt Return
Marcus Davis,2015,AUB,Punt Return
Trever Ryen,2015,IAST,Punt Return
Dominique Heath,2015,KSST,Punt Return
Jamal Golden,2015,GT,Punt Return
Richard Leonard,2015,FIU,Punt Return
Sherman Alston,2015,BC,Punt Return
Fred Ross,2015,MSST,Punt Return
Andrew Celis,2015,NEV,Punt Return
Corn Elder,2015,MIA,Punt Return
Bralon Addison,2015,ORE,Punt Return
Ryan White,2015,VAN,Punt Return
Sterling Shepard,2015,OKLA,Punt Return
Lloyd Mills,2015,SDSU,Punt Return
Devin Fuller,2015,UCLA,Punt Return
Nick Nelson,2015,HAW,Punt Return
Roderick Proctor,2015,MEM,Punt Return
Tre Johnson,2015,UNT,Punt Return
Garrett Brown,2015,AF,Punt Return
Shaq Washington,2015,CINN,Punt Return
Christian McCaffrey,2015,STAN,Punt Return
Maurice Canady,2015,UVA,Punt Return
Gary Haynes,2015,ULL,Punt Return
Jaquan White,2015,UTEP,Punt Return
De'Chavon Hayes,2015,AZST,Punt Return
Nate Phillips,2015,ARIZ,Punt Return
Jesus Wilson,2015,FSU,Punt Return
Chad Beebe,2015,NIU,Punt Return
Aarion Penton,2015,MIZZ,Punt Return
Corey Lacanaria,2015,BALL,Punt Return
Conner Floyd,2015,TULS,Punt Return
Trey Dudley-Giles,2015,MASS,Punt Return
Jalen McCleskey,2015,OKST,Punt Return
Reggie Davis,2015,UGA,Punt Return
Michael Shelton,2015,BYU,Punt Return
Miles Shuler,2015,NW,Punt Return
Gabe Marks,2015,WSU,Punt Return
Jenson Stoshak,2015,FAU,Punt Return
Tyler Ervin,2015,SJSU,Punt Return
Edgar Poe,2015,ARMY,Punt Return
Alvin Kamara,2015,TENN,Punt Return
Kylen Towner,2015,WKU,Punt Return
Papi White,2015,OHIO,Punt Return
Jared Cornelius,2015,ARK,Punt Return
D.J. Dean,2015,ARK,Punt Return
Chris Murray,2015,ARST,Punt Return
Tabari Hines,2015,WF,Punt Return
Daniel Braverman,2015,WMU,Punt Return
Jalen Richard,2015,USM,Punt Return
Jacob Martinez,2015,BUFF,Punt Return
Trent Taylor,2015,LT,Punt Return
Cameron Batson,2015,TTU,Punt Return
Elijah McGuire,2015,ULL,Punt Return
Travonne Hobbs,2015,UTAH,Punt Return
Victor Bolden,2015,ORST,Punt Return
