Player,Year,Team,Stat Type
Austin Rehkow,2013,IDHO,Punting
Drew Kaser,2013,TAMU,Punting
Pat O'Donnell,2013,MIA,Punting
Cody Mandell,2013,ALA,Punting
Zac Murphy,2013,MIOH,Punting
Justin Manton,2013,ULM,Punting
Ben Skaer,2013,UNM,Punting
Spencer Roth,2013,BAY,Punting
Tom Hornsey,2013,MEM,Punting
Zach Robinson,2013,TXST,Punting
Will Scott,2013,TROY,Punting
Anthony Melchiori,2013,KENT,Punting
Chase Tenpenny,2013,NEV,Punting
Michael Palardy,2013,TENN,Punting
Tyler Campbell,2013,MISS,Punting
Sam Irwin-Hill,2013,ARK,Punting
A.J. Hughes,2013,VT,Punting
Nick O'Toole,2013,WVU,Punting
Will Johnson,2013,TXST,Punting
Cameron Johnston,2013,OSU,Punting
Richie Hogan,2013,CMU,Punting
Cayle Chapman-Brown,2013,NMST,Punting
Trevor Pardula,2013,KAN,Punting
Cody Webster,2013,PUR,Punting
Tom Hackett,2013,UTAH,Punting
Harrison Waid,2013,SJSU,Punting
Peter Mortell,2013,MINN,Punting
Richie Leone,2013,HOU,Punting
Garrett Swanson,2013,FRES,Punting
Hunter Mullins,2013,UAB,Punting
Ryan Erxleben,2013,TTU,Punting
Matt Yoklic,2013,PITT,Punting
Tommy Hibbard,2013,UNC,Punting
Zach Paul,2013,AKR,Punting
Ben Rhyne,2013,STAN,Punting
Taylor Hudson,2013,VAN,Punting
Cole Leininger,2013,CAL,Punting
Trent Tignor,2013,ECU,Punting
Sean Kelly,2013,FAU,Punting
Paul Layton,2013,TEM,Punting
John Lloyd,2013,CINN,Punting
Will Monday,2013,DUKE,Punting
Steven Clark,2013,AUB,Punting
Sean Covington,2013,UCLA,Punting
Mike Sadler,2013,MSU,Punting
Jake Medlock,2013,FIU,Punting
Sean Poole,2013,GT,Punting
Tyler Williams,2013,MRSH,Punting
Caleb Houston,2013,UCF,Punting
Wil Baumann,2013,NCST,Punting
Riley Dixon,2013,SYR,Punting
Matt Hubbard,2013,GAST,Punting
Hayden Hunt,2013,CSU,Punting
Ethan Wood,2013,WYO,Punting
Logan Yunker,2013,UNLV,Punting
Josh Davis,2013,MTSU,Punting
Nate Freese,2013,BC,Punting
Jed Barnett,2013,OKLA,Punting
Daniel Cadona,2013,ULL,Punting
Sam Foltz,2013,NEB,Punting
Kirby Van Der Kamp,2013,IAST,Punting
Peter Picerelli,2013,TULN,Punting
Pablo Beltran,2013,NAVY,Punting
Mark Krause,2013,KSST,Punting
Brian Schmiedebusch,2013,BGSU,Punting
Landon Foster,2013,KY,Punting
Alec Vozenilek,2013,UVA,Punting
James Farrimond,2013,RICE,Punting
Ryan Johnson,2013,LOU,Punting
Kyle Brindza,2013,ND,Punting
Blake Macek,2013,UNT,Punting
Cason Beatty,2013,FSU,Punting
Justin DuVernois,2013,ILL,Punting
Jamie Keehn,2013,LSU,Punting
Christian Brinser,2013,MIZZ,Punting
Scott Arellano,2013,BYU,Punting
Vince Penza,2013,TOL,Punting
Kyle Schmidt,2013,BALL,Punting
Nathan Renfro,2013,MD,Punting
Anthony Fera,2013,TEX,Punting
Scott Garber,2013,USA,Punting
Nick Marsh,2013,RUT,Punting
Matt Wile,2013,MICH,Punting
Erich Toth,2013,IND,Punting
Darragh O'Neill,2013,COL,Punting
Keith Kostol,2013,ORST,Punting
Mike Loftus,2013,SMU,Punting
Kristian Stern,2013,UTSA,Punting
Travis Coons,2013,WASH,Punting
Tyler Wedel,2013,NIU,Punting
Ethan Perry,2013,TCU,Punting
Mattias Ciabatti,2013,USF,Punting
Mike Ruggles,2013,UTEP,Punting
Scott Harding,2013,HAW,Punting
Drew Riggleman,2013,ARIZ,Punting
Tyler Grassman,2013,BUFF,Punting
Connor Kornbrath,2013,IOWA,Punting
Alejandro Maldonado,2013,ORE,Punting
Cole Wagner,2013,CONN,Punting
Jaron Bentrude,2013,USU,Punting
JK Scott,2014,ALA,Punting
