Player,Team,Year,Rec,Yds,Avg,TD,Stat Type
Davante Adams,FRES,2013,131,"1,718",13.11,24,Receiving
Brandin Cooks,ORST,2013,128,"1,730",13.52,16,Receiving
Justin Hardy,ECU,2013,114,"1,284",11.26,8,Receiving
Jeremy Johnson,SMU,2013,112,"1,112",9.93,6,Receiving
Jordan Matthews,VAN,2013,112,"1,477",13.19,7,Receiving
Jamison Crowder,DUKE,2013,108,"1,360",12.59,8,Receiving
Tommy Shuler,MRSH,2013,106,"1,165",10.99,10,Receiving
Jace Amaro,TTU,2013,106,"1,352",12.75,7,Receiving
Willie Snead,BALL,2013,106,"1,516",14.3,15,Receiving
Darius Joseph,SMU,2013,103,808,7.84,5,Receiving
Sammy Watkins,CLEM,2013,101,"1,464",14.49,12,Receiving
Isaiah Burse,FRES,2013,99,"1,026",10.36,6,Receiving
Brandon Wimberly,NEV,2013,97,989,10.2,8,Receiving
Allen Robinson,PSU,2013,97,"1,432",14.76,6,Receiving
Jeremy Gallon,MICH,2013,89,"1,373",15.43,9,Receiving
Matt Miller,BSU,2013,88,"1,140",12.95,12,Receiving
Devante Davis,UNLV,2013,87,"1,290",14.83,14,Receiving
Tommylee Lewis,NIU,2013,86,715,8.31,3,Receiving
Tyler Boyd,PITT,2013,85,"1,174",13.81,7,Receiving
Eric Ward,TTU,2013,83,947,11.41,8,Receiving
Paul Richardson,COL,2013,83,"1,343",16.18,10,Receiving
J.D. McKissic,ARST,2013,82,662,8.07,4,Receiving
Deontay Greenberry,HOU,2013,82,"1,202",14.66,11,Receiving
Tyler Lockett,KSST,2013,81,"1,262",15.58,11,Receiving
Dezmon Epps,IDHO,2013,79,980,12.41,4,Receiving
Josh Harper,FRES,2013,79,"1,011",12.8,13,Receiving
Chandler Jones,SJSU,2013,79,"1,356",17.16,15,Receiving
Shaq Washington,CINN,2013,78,783,10.04,1,Receiving
Jared Abbrederis,WISC,2013,78,"1,081",13.86,7,Receiving
Shane Williams-Rhodes,BSU,2013,77,702,9.12,6,Receiving
Bryce Treggs,CAL,2013,77,751,9.75,1,Receiving
Alex Amidon,BC,2013,77,"1,032",13.4,5,Receiving
Ryan Grant,TULN,2013,77,"1,039",13.49,9,Receiving
Jarvis Landry,LSU,2013,77,"1,193",15.49,10,Receiving
Rashad Greene,FSU,2013,76,"1,128",14.84,9,Receiving
Dominic Rufran,WYO,2013,75,960,12.8,8,Receiving
Jaelen Strong,AZST,2013,75,"1,122",14.96,7,Receiving
Gabe Marks,WSU,2013,74,807,10.91,7,Receiving
Laquon Treadwell,MISS,2013,72,608,8.44,5,Receiving
Robert Herron,WYO,2013,72,937,13.01,9,Receiving
Anthony McClung,CINN,2013,72,939,13.04,5,Receiving
Jordan Williams,BALL,2013,72,"1,050",14.58,10,Receiving
Cody Latimer,IND,2013,72,"1,096",15.22,9,Receiving
Geremy Davis,CONN,2013,71,"1,085",15.28,3,Receiving
Albert Wilson,GAST,2013,71,"1,177",16.58,8,Receiving
Antwan Goodley,BAY,2013,71,"1,339",18.86,13,Receiving
Darnell Smith,UNT,2013,70,791,11.3,4,Receiving
Chris Harper,CAL,2013,70,852,12.17,5,Receiving
TJ Jones,ND,2013,70,"1,108",15.83,9,Receiving
Donte Foster,OHIO,2013,69,"1,018",14.75,7,Receiving
Mike Evans,TAMU,2013,69,"1,394",20.2,12,Receiving
Rashard Higgins,CSU,2013,68,837,12.31,6,Receiving
Ezell Ruffin,SDSU,2013,68,"1,136",16.71,3,Receiving
Michael Campanaro,WF,2013,67,803,11.99,6,Receiving
Jamill Smith,BALL,2013,67,911,13.6,8,Receiving
Corey Davis,WMU,2013,67,941,14.04,6,Receiving
Keenan Holman,SMU,2013,67,"1,037",15.48,9,Receiving
Eric Thomas,TROY,2013,66,993,15.05,12,Receiving
Jaydon Mickens,WASH,2013,65,688,10.58,5,Receiving
Jakeem Grant,TTU,2013,65,796,12.25,7,Receiving
Rashon Ceaser,ULM,2013,65,964,14.83,5,Receiving
Jameon Lewis,MSST,2013,64,923,14.42,5,Receiving
D.J. Foster,AZST,2013,63,653,10.37,4,Receiving
Corey Brown,OSU,2013,63,771,12.24,10,Receiving
Isaiah Jones,ECU,2013,62,604,9.74,5,Receiving
Bernard Reedy,TOL,2013,62,840,13.55,8,Receiving
Eric Ebron,UNC,2013,62,973,15.69,3,Receiving
Josh Huff,ORE,2013,62,"1,140",18.39,12,Receiving
Allen Hurns,MIA,2013,62,"1,162",18.74,6,Receiving
Tajae Sharpe,MASS,2013,61,680,11.15,4,Receiving
Jalen Saunders,OKLA,2013,61,729,11.95,8,Receiving
Richy Turner,NEV,2013,61,755,12.38,4,Receiving
Bralon Addison,ORE,2013,61,890,14.59,7,Receiving
Ty Montgomery,STAN,2013,61,958,15.7,10,Receiving
Alex Neutz,BUFF,2013,61,"1,024",16.79,12,Receiving
Titus Davis,CMU,2013,61,"1,109",18.18,8,Receiving
Malcome Kennedy,TAMU,2013,60,658,10.97,7,Receiving
Josh Stewart,OKST,2013,60,707,11.78,3,Receiving
JoJo Natson,USU,2013,59,395,6.69,2,Receiving
Alonzo Russell,TOL,2013,59,728,12.34,6,Receiving
Dorial Green-Beckham,MIZZ,2013,59,883,14.97,12,Receiving
Donte Moncrief,MISS,2013,59,938,15.9,6,Receiving
Chris Gant,HAW,2013,59,973,16.49,9,Receiving
Steve Hull,ILL,2013,59,993,16.83,7,Receiving
Odell Beckham Jr.,LSU,2013,59,"1,152",19.53,8,Receiving
Fred Lee,BUFF,2013,58,692,11.93,5,Receiving
Marcus Lucas,MIZZ,2013,58,692,11.93,3,Receiving
Damian Copeland,LOU,2013,58,780,13.45,5,Receiving
Tyler Winston,SJSU,2013,58,858,14.79,5,Receiving
Marqise Lee,USC,2013,57,791,13.88,4,Receiving
Rannell Hall,UCF,2013,57,886,15.54,5,Receiving
