Player,Team,Year,Att,Gain,Loss,Yds,Avg,TD,Stat Type
Andre Williams,BC,2013,355,"2,233",56,"2,177",6.13,18,Rushing
Jordan Lynch,NIU,2013,292,"2,025",105,"1,920",6.58,23,Rushing
Ka'Deem Carey,ARIZ,2013,349,"1,931",46,"1,885",5.4,19,Rushing
Bishop Sankey,WASH,2013,327,"1,931",61,"1,870",5.72,20,Rushing
Tre Mason,AUB,2013,317,"1,835",19,"1,816",5.73,23,Rushing
Kapri Bibbs,CSU,2013,281,"1,786",45,"1,741",6.2,31,Rushing
Antonio Andrews,WKU,2013,267,"1,764",34,"1,730",6.48,16,Rushing
Tyler Gaffney,STAN,2013,330,"1,750",41,"1,709",5.18,21,Rushing
Ameer Abdullah,NEB,2013,281,"1,722",32,"1,690",6.01,9,Rushing
Melvin Gordon,WISC,2013,206,"1,650",41,"1,609",7.81,12,Rushing
Travis Greene,BGSU,2013,279,"1,667",73,"1,594",5.71,11,Rushing
Branden Oliver,BUFF,2013,310,"1,604",69,"1,535",4.95,15,Rushing
Carlos Hyde,OSU,2013,208,"1,527",6,"1,521",7.31,15,Rushing
James White,WISC,2013,221,"1,484",40,"1,444",6.53,13,Rushing
Jay Ajayi,BSU,2013,249,"1,463",38,"1,425",5.72,18,Rushing
Jeremy Langford,MSU,2013,292,"1,482",60,"1,422",4.87,18,Rushing
Jeremy Hill,LSU,2013,203,"1,423",22,"1,401",6.9,16,Rushing
Keenan Reynolds,NAVY,2013,300,"1,524",178,"1,346",4.49,31,Rushing
Taysom Hill,BYU,2013,246,"1,595",251,"1,344",5.46,10,Rushing
Trey Watts,TULS,2013,268,"1,381",52,"1,329",4.96,11,Rushing
Tim Cornett,UNLV,2013,264,"1,324",40,"1,284",4.86,15,Rushing
Charles Ross,RICE,2013,211,"1,320",40,"1,280",6.07,15,Rushing
Adam Muema,SDSU,2013,256,"1,304",60,"1,244",4.86,15,Rushing
T.J. Yeldon,ALA,2013,207,"1,279",44,"1,235",5.97,14,Rushing
Jamaal Williams,BYU,2013,217,"1,260",27,"1,233",5.68,7,Rushing
Joey DeMartino,USU,2013,221,"1,270",49,"1,221",5.52,13,Rushing
David Cobb,MINN,2013,237,"1,240",38,"1,202",5.07,7,Rushing
Vintavious Cooper,ECU,2013,230,"1,244",51,"1,193",5.19,13,Rushing
Mike Davis,SCAR,2013,203,"1,214",31,"1,183",5.83,11,Rushing
Lache Seastrunk,BAY,2013,158,"1,223",46,"1,177",7.45,11,Rushing
Henry Josey,MIZZ,2013,174,"1,207",41,"1,166",6.7,16,Rushing
Essray Taliaferro,MRSH,2013,221,"1,163",23,"1,140",5.16,10,Rushing
Storm Johnson,UCF,2013,213,"1,188",49,"1,139",5.35,14,Rushing
Rajion Neal,TENN,2013,215,"1,163",39,"1,124",5.23,12,Rushing
Kasey Carrier,UNM,2013,189,"1,146",24,"1,122",5.94,9,Rushing
David Fluellen,TOL,2013,167,"1,134",13,"1,121",6.71,10,Rushing
Cameron Stingily,NIU,2013,203,"1,147",28,"1,119",5.51,9,Rushing
Terry Baggett,ARMY,2013,141,"1,141",28,"1,113",7.89,8,Rushing
Jahwan Edwards,BALL,2013,212,"1,129",19,"1,110",5.24,14,Rushing
James Sims,KAN,2013,230,"1,155",45,"1,110",4.83,7,Rushing
Bronson Hill,EMU,2013,196,"1,134",33,"1,101",5.62,5,Rushing
Charles Sims,WVU,2013,208,"1,143",48,"1,095",5.26,11,Rushing
Brandin Byrd,UNT,2013,202,"1,120",45,"1,075",5.32,11,Rushing
Nick Marshall,AUB,2013,172,"1,225",157,"1,068",6.21,12,Rushing
Braxton Miller,OSU,2013,171,"1,283",215,"1,068",6.25,12,Rushing
John Hubert,KSST,2013,198,"1,111",63,"1,048",5.29,10,Rushing
Byron Marshall,ORE,2013,168,"1,067",29,"1,038",6.18,14,Rushing
Kevin Parks,UVA,2013,227,"1,065",34,"1,031",4.54,11,Rushing
Alex Collins,ARK,2013,190,"1,066",40,"1,026",5.4,4,Rushing
Roderick McDowell,CLEM,2013,189,"1,073",48,"1,025",5.42,5,Rushing
Devonta Freeman,FSU,2013,173,"1,045",29,"1,016",5.87,14,Rushing
Marion Grice,AZST,2013,191,"1,028",32,996,5.21,14,Rushing
Todd Gurley,UGA,2013,165,"1,007",18,989,5.99,10,Rushing
Zach Zwinak,PSU,2013,210,"1,004",15,989,4.71,12,Rushing
Shaun Wick,WYO,2013,166,995,16,979,5.9,9,Rushing
Mark Weisman,IOWA,2013,227,"1,016",41,975,4.3,8,Rushing
Tevin Coleman,IND,2013,131,998,40,958,7.31,12,Rushing
Brennan Clay,OKLA,2013,175,"1,006",49,957,5.47,6,Rushing
B.J. Denker,ARIZ,2013,181,"1,074",125,949,5.24,13,Rushing
Robert Lowe,TXST,2013,164,970,25,945,5.76,9,Rushing
Alonzo Harris,ULL,2013,199,960,18,942,4.73,14,Rushing
Darrin Reaves,UAB,2013,201,980,52,928,4.62,12,Rushing
Duke Johnson,MIA,2013,145,948,28,920,6.34,6,Rushing
Kenneth Dixon,LT,2013,151,981,64,917,6.07,4,Rushing
Jerome Smith,SYR,2013,200,953,39,914,4.57,12,Rushing
Beau Blankenship,OHIO,2013,204,934,24,910,4.46,5,Rushing
Malcolm Brown,TEX,2013,214,936,32,904,4.22,9,Rushing
Jonathan Williams,ARK,2013,150,919,19,900,6.0,4,Rushing
Anthony LaCoste,AF,2013,135,906,16,890,6.59,6,Rushing
David Sims,GT,2013,161,885,1,884,5.49,11,Rushing
Jordan Howard,UAB,2013,145,905,24,881,6.08,2,Rushing
Paul James,RUT,2013,156,914,33,881,5.65,9,Rushing
Shock Linwood,BAY,2013,128,894,13,881,6.88,8,Rushing
Jawon Chisholm,AKR,2013,189,938,69,869,4.6,8,Rushing
Kareem Hunt,TOL,2013,137,886,20,866,6.32,6,Rushing
Orleans Darkwa,TULN,2013,188,909,46,863,4.59,12,Rushing
Elijah McGuire,ULL,2013,103,871,8,863,8.38,8,Rushing
Brandon Hayes,MEM,2013,201,907,47,860,4.28,5,Rushing
Dak Prescott,MSST,2013,134,917,88,829,6.19,13,Rushing
Dominique Brown,LOU,2013,163,867,42,825,5.06,8,Rushing
Kendall Brock,NEV,2013,185,842,30,812,4.39,10,Rushing
Aaron Jones,UTEP,2013,155,849,38,811,5.23,4,Rushing
Desmond Roland,OKST,2013,176,847,36,811,4.61,13,Rushing
Saylor Lavallii,CMU,2013,182,845,38,807,4.43,5,Rushing
Joshua Quezada,FRES,2013,155,833,26,807,5.21,6,Rushing
Daniel Sams,KSST,2013,152,853,46,807,5.31,11,Rushing
Bill Belton,PSU,2013,157,828,25,803,5.11,5,Rushing
James Conner,PITT,2013,146,826,27,799,5.47,8,Rushing
Isaac Bennett,PITT,2013,171,841,44,797,4.66,7,Rushing
Jarrod Lawson,SJSU,2013,164,809,21,788,4.8,4,Rushing
Javorius Allen,USC,2013,135,835,50,785,5.81,14,Rushing
Johnathan Gray,TEX,2013,159,803,23,780,4.91,4,Rushing
Josh Ferguson,ILL,2013,141,811,32,779,5.52,7,Rushing
Cole Gautsche,UNM,2013,118,811,34,777,6.58,8,Rushing
Brandon Ross,MD,2013,166,865,89,776,4.67,4,Rushing
Jaquez Johnson,FAU,2013,172,910,138,772,4.49,10,Rushing
Shadrach Thornton,NCST,2013,165,801,33,768,4.65,4,Rushing
Trayion Durham,KENT,2013,182,795,29,766,4.21,6,Rushing
Steward Butler,MRSH,2013,87,777,12,765,8.79,8,Rushing
Marcus Shaw,USF,2013,156,816,51,765,4.9,3,Rushing
Melvin Gordon,WISC,2014,343,"2,670",83,"2,587",7.54,29,Rushing
Tevin Coleman,IND,2014,270,"2,062",26,"2,036",7.54,15,Rushing
Donnel Pumphrey,SDSU,2014,277,"1,904",31,"1,873",6.76,20,Rushing
Jay Ajayi,BSU,2014,347,"1,900",77,"1,823",5.25,28,Rushing
Devon Johnson,MRSH,2014,206,"1,790",23,"1,767",8.58,17,Rushing
James Conner,PITT,2014,297,"1,799",35,"1,764",5.94,26,Rushing
Samaje Perine,OKLA,2014,263,"1,745",32,"1,713",6.51,21,Rushing
Duke Johnson,MIA,2014,242,"1,691",39,"1,652",6.83,10,Rushing
Ezekiel Elliott,OSU,2014,237,"1,679",47,"1,632",6.89,14,Rushing
Kareem Hunt,TOL,2014,205,"1,650",19,"1,631",7.96,16,Rushing
David Cobb,MINN,2014,315,"1,678",49,"1,629",5.17,13,Rushing
Cameron Artis-Payne,AUB,2014,303,"1,656",43,"1,613",5.32,13,Rushing
Ameer Abdullah,NEB,2014,264,"1,657",46,"1,611",6.1,19,Rushing
Jordan Howard,UAB,2014,306,"1,643",56,"1,587",5.19,13,Rushing
Paul Perkins,UCLA,2014,251,"1,618",43,"1,575",6.27,9,Rushing
Jarvion Franklin,WMU,2014,306,"1,595",44,"1,551",5.07,24,Rushing
Nick Chubb,UGA,2014,219,"1,594",47,"1,547",7.06,14,Rushing
Leon Allen,WKU,2014,273,"1,580",44,"1,536",5.63,13,Rushing
Jeremy Langford,MSU,2014,276,"1,565",43,"1,522",5.51,22,Rushing
Devontae Booker,UTAH,2014,292,"1,566",54,"1,512",5.18,10,Rushing
Matt Breida,GSU,2014,171,"1,504",10,"1,494",8.74,17,Rushing
Javorius Allen,USC,2014,276,"1,534",45,"1,489",5.39,11,Rushing
Marcus Cox,APST,2014,255,"1,450",35,"1,415",5.55,19,Rushing
Anthone Taylor,BUFF,2014,282,"1,472",69,"1,403",4.98,12,Rushing
Nick Wilson,ARIZ,2014,236,"1,393",18,"1,375",5.83,16,Rushing
Marteze Waller,FRES,2014,225,"1,407",39,"1,368",6.08,11,Rushing
Royce Freeman,ORE,2014,242,"1,367",24,"1,343",5.55,18,Rushing
Aaron Jones,UTEP,2014,242,"1,374",50,"1,324",5.47,11,Rushing
Kenneth Dixon,LT,2014,253,"1,383",84,"1,299",5.13,22,Rushing
Dee Hart,CSU,2014,194,"1,312",37,"1,275",6.57,16,Rushing
Elijah McGuire,ULL,2014,166,"1,285",21,"1,264",7.61,14,Rushing
Jahwan Edwards,BALL,2014,262,"1,290",38,"1,252",4.78,12,Rushing
Shock Linwood,BAY,2014,251,"1,284",41,"1,243",4.95,16,Rushing
Josh Robinson,MSST,2014,190,"1,238",35,"1,203",6.33,11,Rushing
Keenan Reynolds,NAVY,2014,250,"1,390",199,"1,191",4.76,23,Rushing
Jonathan Williams,ARK,2014,211,"1,222",32,"1,190",5.64,12,Rushing
Justin Jackson,NW,2014,245,"1,216",29,"1,187",4.84,10,Rushing
Tyler Murphy,BC,2014,180,"1,398",219,"1,179",6.55,11,Rushing
Larry Dixon,ARMY,2014,191,"1,131",13,"1,118",5.85,9,Rushing
Daniel Lasco,CAL,2014,210,"1,151",36,"1,115",5.31,12,Rushing
Kevin Ellison,GSU,2014,171,"1,199",91,"1,108",6.48,12,Rushing
Thomas Rawls,CMU,2014,210,"1,135",30,"1,105",5.26,10,Rushing
DeAndre Washington,TTU,2014,188,"1,136",33,"1,103",5.87,2,Rushing
Larry Rose III,NMST,2014,186,"1,160",58,"1,102",5.92,9,Rushing
Alex Collins,ARK,2014,204,"1,165",65,"1,100",5.39,12,Rushing
Michael Gordon,ARST,2014,159,"1,138",38,"1,100",6.92,13,Rushing
Robert Lowe,TXST,2014,185,"1,118",27,"1,091",5.9,12,Rushing
Justin Thomas,GT,2014,190,"1,248",162,"1,086",5.72,8,Rushing
Russell Hansbrough,MIZZ,2014,205,"1,144",60,"1,084",5.29,10,Rushing
Jhurell Pressley,UNM,2014,114,"1,121",38,"1,083",9.5,12,Rushing
D.J. Foster,AZST,2014,194,"1,122",41,"1,081",5.57,9,Rushing
Jacobi Owens,AF,2014,204,"1,082",28,"1,054",5.17,5,Rushing
Cody Fajardo,NEV,2014,177,"1,221",175,"1,046",5.91,13,Rushing
Marlon Mack,USF,2014,202,"1,095",54,"1,041",5.15,9,Rushing
Kenneth Farrow,HOU,2014,186,"1,081",44,"1,037",5.58,14,Rushing
Leonard Fournette,LSU,2014,187,"1,049",15,"1,034",5.53,10,Rushing
Dalvin Cook,FSU,2014,170,"1,052",44,"1,008",5.93,8,Rushing
Derrick Henry,ALA,2014,172,"1,025",35,990,5.76,11,Rushing
Dak Prescott,MSST,2014,210,"1,125",139,986,4.7,14,Rushing
Mike Davis,SCAR,2014,199,"1,016",34,982,4.93,9,Rushing
T.J. Yeldon,ALA,2014,194,"1,012",33,979,5.05,11,Rushing
Cameron Stingily,NIU,2014,193,987,16,971,5.03,14,Rushing
Don Jackson,NEV,2014,216,"1,003",46,957,4.43,7,Rushing
Jowan Davis,RICE,2014,245,"1,022",66,956,3.9,6,Rushing
Noah Copeland,NAVY,2014,129,956,4,952,7.38,5,Rushing
Brandon Hayes,MEM,2014,195,999,48,951,4.88,5,Rushing
Corey Clement,WISC,2014,147,969,20,949,6.46,9,Rushing
Travis Greene,BGSU,2014,180,985,36,949,5.27,12,Rushing
Akeem Hunt,PUR,2014,173,"1,010",61,949,5.49,6,Rushing
Ray Lawry,ODU,2014,135,968,21,947,7.01,16,Rushing
J.T. Barrett,OSU,2014,171,"1,117",179,938,5.49,11,Rushing
Synjyn Days,GT,2014,157,926,2,924,5.89,9,Rushing
Marcus Murphy,MIZZ,2014,177,973,49,924,5.22,4,Rushing
Aaron Green,TCU,2014,129,942,20,922,7.15,9,Rushing
Todd Gurley,UGA,2014,123,932,21,911,7.41,9,Rushing
Shadrach Thornton,NCST,2014,164,935,28,907,5.53,9,Rushing
Ralph Webb,VAN,2014,212,950,43,907,4.28,4,Rushing
Drew Hare,NIU,2014,159,"1,025",125,900,5.66,8,Rushing
Jalen Hurd,TENN,2014,190,938,39,899,4.73,5,Rushing
Tyler Ervin,SJSU,2014,159,949,58,891,5.6,4,Rushing
Tarean Folston,ND,2014,175,911,22,889,5.08,6,Rushing
Breon Allen,ECU,2014,134,907,38,869,6.49,8,Rushing
Jon Hilliman,BC,2014,211,909,49,860,4.08,13,Rushing
Zach Laskey,GT,2014,171,853,2,851,4.98,9,Rushing
Matt Jones,FLA,2014,166,834,17,817,4.92,6,Rushing
Angel Santiago,ARMY,2014,191,938,126,812,4.25,10,Rushing
Mark Weisman,IOWA,2014,213,838,26,812,3.81,16,Rushing
Teriyon Gipson,UNM,2014,150,835,26,809,5.39,8,Rushing
Alonzo Harris,ULL,2014,172,829,22,807,4.69,12,Rushing
Brian Hill,WYO,2014,146,823,21,802,5.49,7,Rushing
Zack Langer,TULS,2014,196,816,15,801,4.09,4,Rushing
Steward Butler,MRSH,2014,107,804,6,798,7.46,7,Rushing
Nick Marshall,AUB,2014,153,925,127,798,5.22,11,Rushing
Fredi Knighten,ARST,2014,210,"1,090",300,790,3.76,11,Rushing
Rushel Shell,WVU,2014,176,823,35,788,4.48,7,Rushing
A.J. Ouellette,OHIO,2014,160,804,19,785,4.91,7,Rushing
Marquise Williams,UNC,2014,193,"1,051",268,783,4.06,13,Rushing
Desmond Roland,OKST,2014,203,804,34,770,3.79,10,Rushing
Reggie Whatley,MTSU,2014,113,799,32,767,6.79,7,Rushing
Storm Woods,ORST,2014,121,780,14,766,6.33,5,Rushing
Derrick Henry,ALA,2015,395,"2,282",63,"2,219",5.62,28,Rushing
Christian McCaffrey,STAN,2015,337,"2,065",46,"2,019",5.99,8,Rushing
Leonard Fournette,LSU,2015,300,"2,045",92,"1,953",6.51,22,Rushing
Royce Freeman,ORE,2015,283,"1,889",51,"1,838",6.49,17,Rushing
Ezekiel Elliott,OSU,2015,289,"1,874",53,"1,821",6.3,23,Rushing
Dalvin Cook,FSU,2015,229,"1,749",58,"1,691",7.38,19,Rushing
Larry Rose III,NMST,2015,239,"1,719",62,"1,657",6.93,14,Rushing
Donnel Pumphrey,SDSU,2015,310,"1,741",85,"1,656",5.34,17,Rushing
Brian Hill,WYO,2015,281,"1,681",50,"1,631",5.8,6,Rushing
Matt Breida,GSU,2015,203,"1,653",50,"1,603",7.9,17,Rushing
Tyler Ervin,SJSU,2015,294,"1,661",60,"1,601",5.45,13,Rushing
Alex Collins,ARK,2015,271,"1,643",66,"1,577",5.82,20,Rushing
Wendell Smallwood,WVU,2015,238,"1,549",30,"1,519",6.38,9,Rushing
Wayne Gallman,CLEM,2015,282,"1,552",38,"1,514",5.37,13,Rushing
DeAndre Washington,TTU,2015,232,"1,516",21,"1,495",6.44,14,Rushing
Elijah Hood,UNC,2015,218,"1,488",25,"1,463",6.71,17,Rushing
Marcus Cox,APST,2015,243,"1,481",53,"1,428",5.88,9,Rushing
Justin Jackson,NW,2015,312,"1,468",50,"1,418",4.54,5,Rushing
Marlon Mack,USF,2015,210,"1,418",37,"1,381",6.58,8,Rushing
Keenan Reynolds,NAVY,2015,265,"1,537",164,"1,373",5.18,24,Rushing
Samaje Perine,OKLA,2015,226,"1,375",26,"1,349",5.97,16,Rushing
James Butler,NEV,2015,208,"1,379",34,"1,345",6.47,10,Rushing
Paul Perkins,UCLA,2015,237,"1,394",51,"1,343",5.67,14,Rushing
Mike Warren,IAST,2015,227,"1,366",27,"1,339",5.9,5,Rushing
Jeremy McNichols,BSU,2015,240,"1,427",90,"1,337",5.57,20,Rushing
Shock Linwood,BAY,2015,196,"1,362",33,"1,329",6.78,10,Rushing
Myles Gaskin,WASH,2015,227,"1,348",46,"1,302",5.74,14,Rushing
Travis Greene,BGSU,2015,222,"1,323",25,"1,298",5.85,15,Rushing
Jalen Hurd,TENN,2015,277,"1,353",68,"1,285",4.64,12,Rushing
Joel Bouagnon,NIU,2015,283,"1,323",39,"1,284",4.54,18,Rushing
Aaron Green,TCU,2015,245,"1,321",48,"1,273",5.2,11,Rushing
Jahad Thomas,TEM,2015,276,"1,385",123,"1,262",4.57,17,Rushing
Devontae Booker,UTAH,2015,268,"1,297",36,"1,261",4.71,11,Rushing
Jordan Howard,IND,2015,196,"1,229",16,"1,213",6.19,9,Rushing
Tra Carson,TAMU,2015,242,"1,209",44,"1,165",4.81,7,Rushing
Sony Michel,UGA,2015,219,"1,201",40,"1,161",5.3,8,Rushing
Elijhaa Penny,IDHO,2015,245,"1,173",14,"1,159",4.73,10,Rushing
Ralph Webb,VAN,2015,277,"1,204",52,"1,152",4.16,5,Rushing
Paul Harris,HAW,2015,198,"1,176",33,"1,143",5.77,6,Rushing
Ray Lawry,ODU,2015,194,"1,165",29,"1,136",5.86,11,Rushing
Ito Smith,USM,2015,171,"1,156",28,"1,128",6.6,10,Rushing
Qadree Ollison,PITT,2015,212,"1,158",37,"1,121",5.29,11,Rushing
Greg Ward Jr.,HOU,2015,197,"1,301",187,"1,114",5.65,21,Rushing
Demario Richard,AZST,2015,210,"1,143",39,"1,104",5.26,7,Rushing
Deshaun Watson,CLEM,2015,206,"1,215",114,"1,101",5.34,12,Rushing
Jalen Richard,USM,2015,185,"1,113",15,"1,098",5.94,14,Rushing
Jacobi Owens,AF,2015,206,"1,123",27,"1,096",5.32,7,Rushing
Darius Jackson,EMU,2015,208,"1,131",43,"1,088",5.23,14,Rushing
Anthony Wales,WKU,2015,154,"1,093",7,"1,086",7.05,9,Rushing
Don Jackson,NEV,2015,228,"1,122",43,"1,079",4.73,8,Rushing
Saquon Barkley,PSU,2015,182,"1,145",69,"1,076",5.91,7,Rushing
Kenneth Dixon,LT,2015,198,"1,144",71,"1,073",5.42,19,Rushing
Michael Gordon,ARST,2015,168,"1,098",28,"1,070",6.37,9,Rushing
Jamauri Bogan,WMU,2015,162,"1,080",29,"1,051",6.49,16,Rushing
Elijah McGuire,ULL,2015,209,"1,083",36,"1,047",5.01,13,Rushing
Travon McMillian,VT,2015,200,"1,099",56,"1,043",5.21,7,Rushing
Jarveon Williams,UTSA,2015,173,"1,088",49,"1,039",6.01,8,Rushing
C.J. Prosise,ND,2015,157,"1,100",71,"1,029",6.55,11,Rushing
Kelvin Taylor,FLA,2015,258,"1,104",76,"1,028",3.98,13,Rushing
Chris Swain,NAVY,2015,211,"1,038",15,"1,023",4.85,10,Rushing
Peyton Barber,AUB,2015,237,"1,040",24,"1,016",4.29,13,Rushing
Devine Redding,IND,2015,226,"1,075",63,"1,012",4.48,9,Rushing
Brandon Burks,TROY,2015,201,"1,092",87,"1,005",5.0,7,Rushing
Chase Price,SDSU,2015,189,"1,027",22,"1,005",5.32,6,Rushing
Joseph Yearby,MIA,2015,205,"1,042",40,"1,002",4.89,6,Rushing
Johnny Jefferson,BAY,2015,136,"1,009",9,"1,000",7.35,8,Rushing
Quinton Flowers,USF,2015,191,"1,107",116,991,5.19,12,Rushing
Ronald Jones II,USC,2015,153,"1,005",18,987,6.45,8,Rushing
