Player,Team,Year,Pts,Tot,FG,Stat Type
Kenneth Dixon,LT,2012,168,28,0/0,Scoring
Quinn Sharp,OKST,2012,156,0,28/34,Scoring
Stedman Bailey,WVU,2012,150,25,0/0,Scoring
Stefphon Jefferson,NEV,2012,150,25,0/0,Scoring
Alex Singleton,TULS,2012,150,25,0/0,Scoring
Ka'Deem Carey,ARIZ,2012,144,24,0/0,Scoring
Dustin Hopkins,FSU,2012,140,0,25/30,Scoring
Dri Archer,KENT,2012,138,23,0/0,Scoring
Kenjon Barner,ORE,2012,138,23,0/0,Scoring
Collin Klein,KSST,2012,138,23,0/0,Scoring
Montee Ball,WISC,2012,132,22,0/0,Scoring
Johnny Manziel,TAMU,2012,126,21,0/0,Scoring
Steven Schott,BALL,2012,125,0,25/32,Scoring
Anthony Cantele,KSST,2012,121,0,19/23,Scoring
Zurlon Tipton,CMU,2012,120,20,0/0,Scoring
Tevin Washington,GT,2012,120,20,0/0,Scoring
Kerwynn Williams,USU,2012,120,20,0/0,Scoring
Aaron Jones,BAY,2012,119,0,16/27,Scoring
Brett Maher,NEB,2012,119,0,20/27,Scoring
Mathew Sims,NIU,2012,118,1,15/19,Scoring
Matt Weller,OHIO,2012,118,0,23/31,Scoring
Jeremiah Detmer,TOL,2012,116,0,24/29,Scoring
Freddy Cortez,KENT,2012,115,0,19/25,Scoring
Giovani Bernard,UNC,2012,114,19,0/0,Scoring
Chris Boswell,RICE,2012,114,0,23/29,Scoring
Marion Grice,AZST,2012,114,19,0/0,Scoring
Eddie Lacy,ALA,2012,114,19,0/0,Scoring
Jordan Lynch,NIU,2012,114,19,0/0,Scoring
Latavius Murray,UCF,2012,114,19,0/0,Scoring
Brett Baer,ULL,2012,113,0,20/23,Scoring
Matt Nelson,LT,2012,112,0,12/18,Scoring
Chandler Catanzaro,CLEM,2012,111,0,18/19,Scoring
Ryan Bustin,TTU,2012,110,0,17/24,Scoring
Todd Gurley,UGA,2012,108,18,0/0,Scoring
DeAndre Hopkins,CLEM,2012,108,18,0/0,Scoring
Michael Hunnicutt,OKLA,2012,108,0,17/21,Scoring
Jaden Oberkrom,TCU,2012,108,0,22/30,Scoring
De'Anthony Thomas,ORE,2012,108,18,0/0,Scoring
Drew Alleman,LSU,2012,107,0,21/29,Scoring
Taylor Bertolet,TAMU,2012,107,0,13/22,Scoring
Jeff Budzien,NW,2012,107,0,19/20,Scoring
Ross Martin,DUKE,2012,106,0,20/23,Scoring
Caleb Sturgis,FLA,2012,106,0,24/28,Scoring
Matt Hogan,HOU,2012,105,0,20/25,Scoring
Austin Lopez,SJSU,2012,105,0,17/17,Scoring
Tavon Austin,WVU,2012,104,17,0/0,Scoring
Brian Davis,ARST,2012,104,0,17/21,Scoring
David Oku,ARST,2012,104,17,0/0,Scoring
Trent Steelman,ARMY,2012,104,17,0/0,Scoring
Bryson Rose,MISS,2012,103,0,18/28,Scoring
John Bonano,ARIZ,2012,102,0,14/20,Scoring
Carlos Hyde,OSU,2012,102,17,0/0,Scoring
Tony Miliano,CINN,2012,102,0,17/22,Scoring
Adam Muema,SDSU,2012,102,17,0/0,Scoring
Jeremy Shelley,ALA,2012,102,0,11/11,Scoring
Ka'imi Fairbairn,UCLA,2012,101,0,15/21,Scoring
Chase Hover,SMU,2012,101,0,18/29,Scoring
D.J. Harper,BSU,2012,100,16,0/0,Scoring
Kevin Harper,PITT,2012,100,0,20/27,Scoring
Justin Haig,MRSH,2012,99,0,13/16,Scoring
Trevor Romaine,ORST,2012,99,0,16/18,Scoring
Jake Wieclaw,MIA,2012,99,0,19/25,Scoring
Stephen Houston,IND,2012,98,16,0/0,Scoring
Tyler Bitancurt,WVU,2012,97,0,11/19,Scoring
Kyle Brindza,ND,2012,97,0,23/31,Scoring
Joe Bergeron,TEX,2012,96,16,0/0,Scoring
Beau Blankenship,OHIO,2012,96,16,0/0,Scoring
John Hubert,KSST,2012,96,16,0/0,Scoring
Bishop Sankey,WASH,2012,96,16,0/0,Scoring
Jordan Williamson,STAN,2012,96,0,17/27,Scoring
Warren Harvey,ECU,2012,95,0,15/20,Scoring
Dan Conroy,MSU,2012,94,0,23/32,Scoring
Cody Journell,VT,2012,94,0,20/25,Scoring
Quentin Breshears,FRES,2012,93,0,12/15,Scoring
Brendan Gibbons,MICH,2012,93,0,16/18,Scoring
Marqise Lee,USC,2012,92,15,0/0,Scoring
Will Scott,TROY,2012,91,0,17/21,Scoring
Antonio Andrews,WKU,2012,90,15,0/0,Scoring
Kasey Carrier,UNM,2012,90,15,0/0,Scoring
Johnathan Franklin,UCLA,2012,90,15,0/0,Scoring
Venric Mark,NW,2012,90,15,0/0,Scoring
Glasco Martin,BAY,2012,90,15,0/0,Scoring
Stepfan Taylor,STAN,2012,90,15,0/0,Scoring
Casey Barth,UNC,2012,89,0,15/19,Scoring
Cairo Santos,TULN,2012,89,0,21/21,Scoring
David Harman,CMU,2012,88,0,15/20,Scoring
Ross Krautman,SYR,2012,88,0,15/23,Scoring
Shawn Moffitt,UCF,2012,88,0,10/14,Scoring
Daniel Schwarz,TULS,2012,88,0,12/18,Scoring
Mitch Ewald,IND,2012,87,0,15/20,Scoring
Michael Frisina,BSU,2012,87,0,15/20,Scoring
Carlos Lopez,MTSU,2012,87,0,17/22,Scoring
Marshall Morgan,UGA,2012,87,0,8/14,Scoring
Carey Spear,VAN,2012,87,0,20/24,Scoring
John Wallace,LOU,2012,86,0,16/21,Scoring
Devon Bell,MSST,2012,85,0,14/21,Scoring
Davante Adams,FRES,2012,84,14,0/0,Scoring
Michel Chapuseaux,USA,2012,84,0,20/27,Scoring
Trayion Durham,KENT,2012,84,14,0/0,Scoring
Jahwan Edwards,BALL,2012,84,14,0/0,Scoring
Keenan Reynolds,NAVY,2013,188,31,0/0,Scoring
Kapri Bibbs,CSU,2013,186,31,0/0,Scoring
Roberto Aguayo,FSU,2013,157,0,21/22,Scoring
Tre Mason,AUB,2013,150,25,0/0,Scoring
Davante Adams,FRES,2013,144,24,0/0,Scoring
Jordan Lynch,NIU,2013,144,24,0/0,Scoring
Zane Gonzalez,AZST,2013,138,0,25/30,Scoring
Tyler Gaffney,STAN,2013,132,22,0/0,Scoring
Bishop Sankey,WASH,2013,126,21,0/0,Scoring
Michael Hunnicutt,OKLA,2013,125,1,24/27,Scoring
Aaron Jones,BAY,2013,124,0,14/23,Scoring
Ryan Bustin,TTU,2013,121,0,23/27,Scoring
Jared Roberts,CSU,2013,121,0,21/24,Scoring
Andrew Baggett,MIZZ,2013,120,0,18/25,Scoring
Ka'Deem Carey,ARIZ,2013,120,20,0/0,Scoring
Marion Grice,AZST,2013,120,20,0/0,Scoring
Scott Secor,BALL,2013,117,0,19/24,Scoring
Jay Ajayi,BSU,2013,114,19,0/0,Scoring
Jeremy Langford,MSU,2013,114,19,0/0,Scoring
Marshall Morgan,UGA,2013,113,0,22/24,Scoring
Tyler Tate,BGSU,2013,113,0,18/22,Scoring
Shawn Moffitt,UCF,2013,112,0,21/23,Scoring
Mathew Sims,NIU,2013,112,0,17/29,Scoring
John Wallace,LOU,2013,112,0,20/24,Scoring
Cody Parkey,AUB,2013,111,0,15/21,Scoring
Justin Haig,MRSH,2013,110,0,16-Nov,Scoring
Brandin Cooks,ORST,2013,108,18,0/0,Scoring
Dan Goodale,BSU,2013,108,0,17/19,Scoring
Carlos Hyde,OSU,2013,108,18,0/0,Scoring
Justin Sorensen,BYU,2013,108,0,21/26,Scoring
Andre Williams,BC,2013,108,18,0/0,Scoring
Travis Coons,WASH,2013,107,0,15/16,Scoring
Warren Harvey,ECU,2013,106,0,15/25,Scoring
Anthony Fera,TEX,2013,105,0,20/22,Scoring
Austin Lopez,SJSU,2013,105,0,22/27,Scoring
Drew Basil,OSU,2013,104,0,10-Sep,Scoring
Jeff Budzien,NW,2013,104,0,23/25,Scoring
Colin McGuire,FRES,2013,104,0,16-Nov,Scoring
Nick Diaz,USU,2013,102,0,17/23,Scoring
Storm Johnson,UCF,2013,102,17,0/0,Scoring
Henry Josey,MIZZ,2013,102,17,0/0,Scoring
Jeremiah Detmer,TOL,2013,101,0,19/20,Scoring
Ka'imi Fairbairn,UCLA,2013,101,0,14/20,Scoring
Brad Craddock,MD,2013,100,0,21/25,Scoring
Nate Freese,BC,2013,100,0,20/20,Scoring
Ben Grogan,OKST,2013,100,0,18-Nov,Scoring
Chandler Catanzaro,CLEM,2013,99,0,13/14,Scoring
Elliott Fry,SCAR,2013,99,0,15/18,Scoring
Carey Spear,VAN,2013,99,1,15/19,Scoring
Kyle Brindza,ND,2013,98,0,20/26,Scoring
Andrew Furney,WSU,2013,97,0,16/20,Scoring
Ross Martin,DUKE,2013,97,0,13/19,Scoring
Jordan Williamson,STAN,2013,97,0,18/22,Scoring
Antonio Andrews,WKU,2013,96,16,0/0,Scoring
Cade Foster,ALA,2013,96,0,17-Dec,Scoring
Matt Goudis,MIA,2013,96,0,13/17,Scoring
Todd Gurley,UGA,2013,96,16,0/0,Scoring
Jeremy Hill,LSU,2013,96,16,0/0,Scoring
Branden Oliver,BUFF,2013,96,16,0/0,Scoring
Desmond Roland,OKST,2013,96,16,0/0,Scoring
Charles Ross,RICE,2013,96,16,0/0,Scoring
Colby Delahoussaye,LSU,2013,95,0,13/14,Scoring
Andre Heidari,USC,2013,94,0,15/22,Scoring
Adam Muema,SDSU,2013,94,15,0/0,Scoring
Chandler Jones,SJSU,2013,92,15,0/0,Scoring
Andy Phillips,UTAH,2013,92,0,17/20,Scoring
Dak Prescott,MSST,2013,92,15,0/0,Scoring
Trevor Romaine,ORST,2013,92,0,14/20,Scoring
Brian Davis,ARST,2013,91,0,15/18,Scoring
Aleem Sunanon,USA,2013,91,0,18/23,Scoring
Javorius Allen,USC,2013,90,15,0/0,Scoring
Kelvin Benjamin,FSU,2013,90,15,0/0,Scoring
Tim Cornett,UNLV,2013,90,15,0/0,Scoring
Devonta Freeman,FSU,2013,90,15,0/0,Scoring
Gator Hoskins,MRSH,2013,90,15,0/0,Scoring
Thomas Moore,UNC,2013,90,0,14/19,Scoring
Andrew Ritter,MISS,2013,90,0,16/24,Scoring
Willie Snead,BALL,2013,90,15,0/0,Scoring
James White,WISC,2013,90,15,0/0,Scoring
Chris Boswell,RICE,2013,89,0,14/21,Scoring
Brendan Gibbons,MICH,2013,89,0,15/20,Scoring
Mike Meyer,IOWA,2013,89,0,16/22,Scoring
Jake Smith,ARIZ,2013,89,0,19-Dec,Scoring
Niklas Sade,NCST,2013,88,0,19/23,Scoring
Chase Hover,SMU,2013,87,0,18/21,Scoring
Devante Davis,UNLV,2013,86,14,0/0,Scoring
Sam Ficken,PSU,2013,86,0,15/23,Scoring
Josh Lambert,WVU,2013,86,0,17/23,Scoring
Bryce Petty,BAY,2013,86,14,0/0,Scoring
Cairo Santos,TULN,2013,86,0,16/23,Scoring
Jordan Chunn,TROY,2013,84,14,0/0,Scoring
Patrick Clarke,BUFF,2013,84,0,13/20,Scoring
Brandon Connette,DUKE,2013,84,14,0/0,Scoring
Vintavious Cooper,ECU,2013,84,14,0/0,Scoring
Joey DeMartino,USU,2013,84,14,0/0,Scoring
Jahwan Edwards,BALL,2013,84,14,0/0,Scoring
Alonzo Harris,ULL,2013,84,14,0/0,Scoring
Byron Marshall,ORE,2013,84,14,0/0,Scoring
Ty Montgomery,STAN,2013,84,14,0/0,Scoring
Darrin Reaves,UAB,2013,84,14,0/0,Scoring
Jay Ajayi,BSU,2014,192,32,0/0,Scoring
Melvin Gordon,WISC,2014,192,32,0/0,Scoring
Kenneth Dixon,LT,2014,168,28,0/0,Scoring
James Conner,PITT,2014,156,26,0/0,Scoring
Jarvion Franklin,WMU,2014,150,25,0/0,Scoring
Jaden Oberkrom,TCU,2014,142,0,22/27,Scoring
Keenan Reynolds,NAVY,2014,138,23,0/0,Scoring
Roberto Aguayo,FSU,2014,136,0,27/30,Scoring
Josh Lambert,WVU,2014,135,0,30/39,Scoring
Justin Haig,MRSH,2014,133,0,17/21,Scoring
Ameer Abdullah,NEB,2014,132,22,0/0,Scoring
Jeremy Langford,MSU,2014,132,22,0/0,Scoring
Chris Callahan,BAY,2014,129,0,18/26,Scoring
Samaje Perine,OKLA,2014,126,21,0/0,Scoring
Casey Skowron,ARIZ,2014,123,1,20/28,Scoring
Sean Nuernberger,OSU,2014,122,0,13/20,Scoring
Jake Elliott,MEM,2014,120,0,21/32,Scoring
Donnel Pumphrey,SDSU,2014,120,20,0/0,Scoring
Zane Gonzalez,AZST,2014,118,0,22/27,Scoring
Garrett Schwettman,WKU,2014,118,0,16/21,Scoring
Rafael Gaglianone,WISC,2014,116,0,19/22,Scoring
Dan Goodale,BSU,2014,115,0,16/21,Scoring
Marshall Morgan,UGA,2014,115,0,16/21,Scoring
Marcus Cox,APST,2014,114,19,0/0,Scoring
Royce Freeman,ORE,2014,114,19,0/0,Scoring
Michael Geiger,MSU,2014,114,0,14/22,Scoring
Devon Johnson,MRSH,2014,114,19,0/0,Scoring
Tyler Tate,BGSU,2014,114,0,23/29,Scoring
Andy Phillips,UTAH,2014,113,0,23/28,Scoring
Daniel Carlson,AUB,2014,111,0,18/24,Scoring
Scott Secor,BALL,2014,109,0,25/30,Scoring
Matt Breida,GSU,2014,108,18,0/0,Scoring
Jeremiah Detmer,TOL,2014,108,0,17/22,Scoring
Dee Hart,CSU,2014,108,18,0/0,Scoring
Ross Martin,DUKE,2014,107,0,19/21,Scoring
Cameron Van Winkle,WASH,2014,107,0,20/24,Scoring
Ben Grogan,OKST,2014,106,0,22/28,Scoring
Ammon Lakip,CLEM,2014,106,0,21/28,Scoring
Elliott Fry,SCAR,2014,105,0,18/25,Scoring
Austin MacGinnis,KY,2014,104,0,21/27,Scoring
Will Conant,AF,2014,102,0,19/21,Scoring
Rashard Higgins,CSU,2014,102,17,0/0,Scoring
Aaron Medley,TENN,2014,102,0,20/26,Scoring
Nick Wilson,ARIZ,2014,102,17,0/0,Scoring
Drew Brown,NEB,2014,101,0,14/21,Scoring
Ka'imi Fairbairn,UCLA,2014,101,0,18/22,Scoring
Sam Ficken,PSU,2014,100,0,24/29,Scoring
Ian Frye,UVA,2014,100,0,22/27,Scoring
Andrew Gantz,CINN,2014,100,0,16/20,Scoring
Warren Harvey,ECU,2014,99,0,14/22,Scoring
Michael Hunnicutt,OKLA,2014,99,0,13/18,Scoring
Chris Blewitt,PITT,2014,98,0,16/21,Scoring
Harrison Butker,GT,2014,98,0,18-Nov,Scoring
Brad Craddock,MD,2014,98,0,18/19,Scoring
Josh Lambo,TAMU,2014,98,0,13/15,Scoring
Trevor Samson,BYU,2014,98,0,14-Dec,Scoring
Andrew Baggett,MIZZ,2014,97,0,18/25,Scoring
Donny Hageman,SDSU,2014,97,0,20/25,Scoring
Hunter Stover,ULL,2014,97,0,18/22,Scoring
Leon Allen,WKU,2014,96,16,0/0,Scoring
Nick Chubb,UGA,2014,96,16,0/0,Scoring
Amari Cooper,ALA,2014,96,16,0/0,Scoring
Kareem Hunt,TOL,2014,96,16,0/0,Scoring
Ray Lawry,ODU,2014,96,16,0/0,Scoring
Shock Linwood,BAY,2014,96,16,0/0,Scoring
Marcus Mariota,ORE,2014,96,16,0/0,Scoring
Elijah McGuire,ULL,2014,96,16,0/0,Scoring
Mark Weisman,IOWA,2014,96,16,0/0,Scoring
Matthew McCrane,KSST,2014,95,0,18/19,Scoring
John Wallace,LOU,2014,95,0,15/19,Scoring
Kyle Brindza,ND,2014,93,0,14/24,Scoring
Andrew Haldeman,WMU,2014,93,0,14/17,Scoring
Jared Roberts,CSU,2014,93,0,20-Dec,Scoring
Joey Slye,VT,2014,93,0,20/28,Scoring
Evan Sobiesk,MSST,2014,92,0,14-Dec,Scoring
Kyle Bullard,HOU,2014,90,0,16/22,Scoring
Tevin Coleman,IND,2014,90,15,0/0,Scoring
Corey Davis,WMU,2014,90,15,0/0,Scoring
Kenneth Farrow,HOU,2014,90,15,0/0,Scoring
William Fuller,ND,2014,90,15,0/0,Scoring
Will Oliver,COL,2014,90,0,16/21,Scoring
Dak Prescott,MSST,2014,90,15,0/0,Scoring
Kyle Federico,RUT,2014,89,0,16/21,Scoring
Adam Griffith,ALA,2014,89,0,19-Dec,Scoring
James Langford,CAL,2014,89,0,17-Nov,Scoring
Jordan Williamson,STAN,2014,88,0,15/22,Scoring
Daniel Lasco,CAL,2014,86,14,0/0,Scoring
Ty Long,UAB,2014,86,0,13/17,Scoring
Brent Zuzo,NEV,2014,85,0,14/18,Scoring
Nelson Agholor,USC,2014,84,14,0/0,Scoring
Ezekiel Elliott,OSU,2014,84,14,0/0,Scoring
Michael Gordon,ARST,2014,84,14,0/0,Scoring
Jordan Howard,UAB,2014,84,14,0/0,Scoring
Aaron Jones,UTEP,2014,84,14,0/0,Scoring
Charles Jones,KSST,2014,84,14,0/0,Scoring
Cameron Stingily,NIU,2014,84,14,0/0,Scoring
Jonathan Williams,ARK,2014,84,14,0/0,Scoring
Marquise Williams,UNC,2014,84,14,0/0,Scoring
Justin Manton,ULM,2014,83,0,20/24,Scoring
Tyler Hadden,HAW,2014,82,0,18/23,Scoring
Derrick Henry,ALA,2015,168,28,0/0,Scoring
Kenneth Dixon,LT,2015,156,26,0/0,Scoring
Jeremy McNichols,BSU,2015,156,26,0/0,Scoring
Keenan Reynolds,NAVY,2015,144,24,0/0,Scoring
Ezekiel Elliott,OSU,2015,138,23,0/0,Scoring
Leonard Fournette,LSU,2015,138,23,0/0,Scoring
Greg Huegel,CLEM,2015,138,0,27/32,Scoring
Tyler Rausa,BSU,2015,134,0,25/30,Scoring
Aidan Schneider,ORE,2015,133,0,22/24,Scoring
Jake Elliott,MEM,2015,132,0,23/28,Scoring
Adam Griffith,ALA,2015,131,0,23/32,Scoring
Zane Gonzalez,AZST,2015,130,0,26/34,Scoring
Nick Weiler,UNC,2015,127,0,20/23,Scoring
Jonathan Barnes,LT,2015,126,0,22/26,Scoring
Greg Ward Jr.,HOU,2015,126,21,0/0,Scoring
Griffin Oakes,IND,2015,125,0,24/29,Scoring
Garrett Schwettman,WKU,2015,124,0,15/16,Scoring
Austin Seibert,OKLA,2015,124,0,18/23,Scoring
Jaden Oberkrom,TCU,2015,122,0,21/25,Scoring
Conrad Ukropina,STAN,2015,121,0,18/20,Scoring
Corey Coleman,BAY,2015,120,20,0/0,Scoring
Alex Collins,ARK,2015,120,20,0/0,Scoring
Dalvin Cook,FSU,2015,120,20,0/0,Scoring
Ross Martin,DUKE,2015,120,0,26/30,Scoring
Donnel Pumphrey,SDSU,2015,120,20,0/0,Scoring
Gary Wunderlich,MISS,2015,120,0,19/25,Scoring
Aaron Medley,TENN,2015,118,0,21/31,Scoring
Josh Lambert,WVU,2015,116,0,21/28,Scoring
Andy Phillips,UTAH,2015,116,0,23/27,Scoring
Michael Badgley,MIA,2015,115,0,25/30,Scoring
Royce Freeman,ORE,2015,114,19,0/0,Scoring
Jahad Thomas,TEM,2015,114,19,0/0,Scoring
Austin Jones,TEM,2015,113,0,23/28,Scoring
Casey Skowron,ARIZ,2015,113,0,18/22,Scoring
Roberto Aguayo,FSU,2015,112,0,21/26,Scoring
Andrew Gantz,CINN,2015,112,0,21/27,Scoring
Joey Slye,VT,2015,110,0,23/30,Scoring
Daniel Carlson,AUB,2015,109,0,23/27,Scoring
Ben Grogan,OKST,2015,109,0,16/20,Scoring
Redford Jones,TULS,2015,109,0,17/25,Scoring
Erik Powell,WSU,2015,109,0,20/26,Scoring
Joel Bouagnon,NIU,2015,108,18,0/0,Scoring
Donny Hageman,SDSU,2015,108,0,17/22,Scoring
Zack Langer,TULS,2015,108,18,0/0,Scoring
Austin Rehkow,IDHO,2015,108,0,23/27,Scoring
Drew Brown,NEB,2015,107,0,21/27,Scoring
Chris Callahan,BAY,2015,107,0,13-Aug,Scoring
Ka'imi Fairbairn,UCLA,2015,107,0,20/24,Scoring
Jameson Vest,TOL,2015,106,0,19/27,Scoring
Matt Anderson,CAL,2015,104,0,18/21,Scoring
Taylor Bertolet,TAMU,2015,104,0,22/31,Scoring
Andrew Haldeman,WMU,2015,104,0,17/22,Scoring
Zach Matics,APST,2015,103,0,14/17,Scoring
Matt Breida,GSU,2015,102,17,0/0,Scoring
Travis Greene,BGSU,2015,102,17,0/0,Scoring
Elijah Hood,UNC,2015,102,17,0/0,Scoring
Elijah McGuire,ULL,2015,102,16,0/0,Scoring
Samaje Perine,OKLA,2015,102,17,0/0,Scoring
Jalen Richard,USM,2015,102,17,0/0,Scoring
Nick Smith,MRSH,2015,102,0,18/25,Scoring
Taywan Taylor,WKU,2015,102,17,0/0,Scoring
Kenny Allen,MICH,2015,100,0,18/22,Scoring
Tyler Tate,BGSU,2015,99,0,15-Aug,Scoring
Emilio Nadelman,USF,2015,98,0,15/23,Scoring
Westin Graves,MSST,2015,97,0,15/18,Scoring
Cameron Van Winkle,WASH,2015,97,0,16/20,Scoring
Jamauri Bogan,WMU,2015,96,16,0/0,Scoring
Tyler Ervin,SJSU,2015,96,16,0/0,Scoring
Darius Jackson,EMU,2015,96,16,0/0,Scoring
Roger Lewis,BGSU,2015,96,16,0/0,Scoring
Larry Rose III,NMST,2015,96,16,0/0,Scoring
Jaylen Samuels,NCST,2015,96,16,0/0,Scoring
DeAndre Washington,TTU,2015,96,16,0/0,Scoring
Clayton Hatfield,TTU,2015,95,0,14/16,Scoring
Marshall Koehn,IOWA,2015,95,0,16/20,Scoring
Justin Yoon,ND,2015,95,0,15/17,Scoring
Trent Domingue,LSU,2015,94,1,13/17,Scoring
Rafael Gaglianone,WISC,2015,94,0,18/27,Scoring
Austin Grebe,NAVY,2015,94,0,14-Dec,Scoring
Christian Hagan,NIU,2015,94,0,14/18,Scoring
Trevor Samson,BYU,2015,94,0,14/17,Scoring
Cody Clark,MTSU,2015,92,0,16-Dec,Scoring
Marshall Morgan,UGA,2015,92,0,18/25,Scoring
Josiah Yazdani,OHIO,2015,92,0,16/22,Scoring
Wyatt Bryan,CSU,2015,91,0,16/22,Scoring
John Wallace,LOU,2015,91,0,15/21,Scoring
Gabe Marks,WSU,2015,90,15,0/0,Scoring
Christian McCaffrey,STAN,2015,90,15,0/0,Scoring
Paul Perkins,UCLA,2015,90,15,0/0,Scoring
Remound Wright,STAN,2015,90,15,0/0,Scoring
Diego Gonzalez,COL,2015,89,0,18/29,Scoring
Brent Zuzo,NEV,2015,89,0,17/19,Scoring
Chris Blewitt,PITT,2015,87,0,15/23,Scoring
Michael Geiger,MSU,2015,87,0,19-Dec,Scoring
Josh Doctson,TCU,2015,86,14,0/0,Scoring
Brian Eavey,CMU,2015,86,0,16/24,Scoring
Elliott Fry,SCAR,2015,85,0,20/28,Scoring
Ian Frye,UVA,2015,85,0,17/22,Scoring
Cole Hedlund,ARK,2015,85,0,15-Sep,Scoring
Cole Murphy,SYR,2015,85,0,16/22,Scoring
Anthony Wales,WKU,2016,174,29,0/0,Scoring
Jeremy McNichols,BSU,2016,162,27,0/0,Scoring
Will Worth,NAVY,2016,150,25,0/0,Scoring
Jonathan Barnes,LT,2016,143,0,22/27,Scoring
Carlos Henderson,LT,2016,138,23,0/0,Scoring
Daniel Carlson,AUB,2016,134,1,28/32,Scoring
Saquon Barkley,PSU,2016,132,22,0/0,Scoring
Brian Hill,WYO,2016,132,22,0/0,Scoring
Redford Jones,TULS,2016,130,0,21/26,Scoring
Adam Griffith,ALA,2016,129,0,21/28,Scoring
Tyler Davis,PSU,2016,128,0,22/24,Scoring
Butch Hampton,WMU,2016,128,0,19/23,Scoring
Lamar Jackson,LOU,2016,126,21,0/0,Scoring
Cameron Van Winkle,WASH,2016,123,0,16/20,Scoring
James Conner,PITT,2016,122,20,0/0,Scoring
Louie Zervos,OHIO,2016,122,0,29/35,Scoring
Jake Elliott,MEM,2016,121,0,21/26,Scoring
Dalvin Cook,FSU,2016,120,20,0/0,Scoring
Aaron Jones,UTEP,2016,120,20,0/0,Scoring
I'Tavius Mathers,MTSU,2016,120,20,0/0,Scoring
Austin Rehkow,IDHO,2016,120,0,26/29,Scoring
John Baron II,SDSU,2016,119,0,21/23,Scoring
Skyler Simcox,WKU,2016,118,0,16/22,Scoring
Joey Slye,VT,2016,118,0,20/27,Scoring
Ben Grogan,OKST,2016,117,0,19/25,Scoring
Luke Strebel,AF,2016,117,0,22/25,Scoring
Michael Badgley,MIA,2016,116,0,21/26,Scoring
Corey Davis,WMU,2016,114,19,0/0,Scoring
Tyler Durbin,OSU,2016,114,0,17/21,Scoring
John Ross,WASH,2016,114,19,0/0,Scoring
Ito Smith,USM,2016,114,19,0/0,Scoring
Jahad Thomas,TEM,2016,114,19,0/0,Scoring
Greg Huegel,CLEM,2016,113,0,14/19,Scoring
Canon Rooker,MTSU,2016,112,0,16/19,Scoring
Matt Anderson,CAL,2016,111,0,21/25,Scoring
Kenny Allen,MICH,2016,110,0,19/23,Scoring
