Player,Position,Year_Recruited,Stars,Team,Team_Played_For,Year_Played,TD
Dorial Green-Beckham,WR,2011,5,Missouri,MIZZ,2010,12
Johnathan Gray,RB,2011,5,Texas,TEX,2010,4
Stefon Diggs,WR,2011,5,Maryland,MD,2010,5
Jameis Winston,DUAL,2011,5,Florida State,FSU,2010,40
Jameis Winston,DUAL,2011,5,Florida State,FSU,2010,25
Duke Johnson,APB,2011,5,Miami,MIA,2010,6
Duke Johnson,APB,2011,5,Miami,MIA,2010,10
Josh Harvey-Clemons,OLB,2011,5,Louiville,LOU,2010,0
Tracy Howard,CB,2011,5,Miami,MIA,2010,1
Gunner Kiel,PRO,2011,5,Cincinnati,CINN,2010,31
Gunner Kiel,PRO,2011,5,Cincinnati,CINN,2010,19
T.J. Yeldon,RB,2011,5,Alabama,ALA,2010,14
T.J. Yeldon,RB,2011,5,Alabama,ALA,2010,11
T.J. Yeldon,RB,2011,5,Alabama,ALA,2010,12
Nelson Agholor,ATH,2011,5,USC,USC,2010,6
Nelson Agholor,ATH,2011,5,USC,USC,2010,12
Nelson Agholor,ATH,2011,5,USC,USC,2010,0
Rushel Shell,RB,2011,5,West Virginia,WVU,2010,7
Devin Fuller,ATH,2011,4,UCLA,UCLA,2010,1
Deontay Greenberry,WR,2011,4,Houston,HOU,2010,11
Amari Cooper,WR,2011,4,Alabama,ALA,2010,16
Amari Cooper,WR,2011,4,Alabama,ALA,2010,11
Amari Cooper,WR,2011,4,Alabama,ALA,2010,0
Mike Davis,RB,2011,4,Texas,TEX,2010,7
Mike Davis,RB,2011,4,South Carolina,SCAR,2010,11
Mike Davis,RB,2011,4,South Carolina,SCAR,2010,9
Jonathan Taylor,DT,2011,4,Wisconsin,WISC,2010,13
Jonathan Taylor,DT,2015,3,Wisconsin,WISC,2015,13
Jonathan Taylor,RB,2016,3,Wisconsin,WISC,2015,13
Brian Poole,S,2011,4,Florida,FLA,2010,1
Geno Smith,CB,2011,4,West Virginia,WVU,2010,24
Geno Smith,CB,2011,4,West Virginia,WVU,2010,31
Geno Smith,CB,2011,4,West Virginia,WVU,2010,42
Cayleb Jones,WR,2011,4,Arizona,ARIZ,2010,9
Cayleb Jones,WR,2011,4,Arizona,ARIZ,2010,5
Todd Gurley,RB,2011,4,Georgia,UGA,2010,10
Todd Gurley,RB,2011,4,Georgia,UGA,2010,9
Todd Gurley,RB,2011,4,Georgia,UGA,2010,17
Todd Gurley,RB,2011,4,Georgia,UGA,2010,0
Bryce Treggs,WR,2011,4,California,CAL,2010,1
Bralon Addison,WR,2011,4,Oregon,ORE,2010,7
Bralon Addison,WR,2011,4,Oregon,ORE,2010,10
Aaron Burbridge,WR,2011,4,Michigan State,MSU,2010,7
Sterling Shepard,WR,2011,4,Oklahoma,OKLA,2010,11
Cyler Miles,DUAL,2011,4,Washington,WASH,2010,17
Darreus Rogers,WR,2011,4,USC,USC,2010,4
Byron Marshall,RB,2011,4,Oregon,ORE,2010,5
Byron Marshall,RB,2011,4,Oregon,ORE,2010,14
Byron Marshall,RB,2011,4,Oregon,ORE,2010,0
Tanner Mangum,PRO,2011,4,BYU,BYU,2010,23
Tanner Mangum,PRO,2011,4,BYU,BYU,2010,8
Matt Davis,DUAL,2011,4,SMU,SMU,2010,16
Jordan Payton,WR,2011,4,UCLA,UCLA,2010,7
Jordan Payton,WR,2011,4,UCLA,UCLA,2010,5
Ishmael Adams,CB,2011,4,UCLA,UCLA,2010,0
D.J. Foster,ATH,2011,4,Arizona State,AZST,2010,4
D.J. Foster,ATH,2011,4,Arizona State,AZST,2010,3
D.J. Foster,ATH,2011,4,Arizona State,AZST,2010,9
Justin Thomas,ATH,2011,4,Georgia Tech,GT,2010,8
Justin Thomas,CB,2011,4,Georgia Tech,GT,2010,8
Justin Thomas,S,2015,2,Georgia Tech,GT,2015,8
Justin Thomas,SDE,2016,3,Georgia Tech,GT,2015,8
Justin Thomas,WR,2018,2,Georgia Tech,GT,2018,8
Geno Lewis,WR,2011,4,Penn State,PSU,2010,2
Corey Coleman,ATH,2011,4,Baylor,BAY,2010,11
Corey Coleman,ATH,2011,4,Baylor,BAY,2010,20
Corey Coleman,ATH,2011,4,Baylor,BAY,2010,0
