Team,Conference,Year,Games,Win,Loss,Off.Yards.per.Game,Yards.Per.Game.Allowed,Touchdowns,Touchdowns.Allowed
Akron ,MAC,2013,12,5,7,342,397,31,44
Alabama ,SEC,2013,13,11,2,454.1,286.5,65,23
Arizona ,Pac-12,2013,13,8,5,458.5,401.1,57,39
Arizona State,Pac-12,2013,14,10,4,457.3,372.4,69,48
Arkansas ,SEC,2013,12,3,9,357.2,413.4,30,49
Arkansas State ,Sun Belt,2013,13,8,5,407.8,413.1,48,43
Army West Point ,FBS Independent,2013,12,3,9,387.3,410.8,38,49
Auburn ,SEC,2013,14,12,2,501.3,420.7,73,41
Ball State ,MAC,2013,13,10,3,477.1,413.8,64,39
Baylor ,Big 12,2013,13,11,2,618.8,360.3,91,41
Boston College ,ACC,2013,13,7,6,367.2,429,43,48
Bowling Green ,MAC,2013,14,10,4,459.4,321.4,62,29
Buffalo ,MAC,2013,13,8,5,394.7,382.8,51,40
BYU ,FBS Independent,2013,13,8,5,493.6,378.8,47,33
California ,Pac-12,2013,12,1,11,453.6,529.6,32,72
Central Michigan,MAC,2013,12,6,6,341.1,405.2,35,43
Cincinnati ,AAC,2013,13,9,4,472.1,315.6,57,34
Clemson ,ACC,2013,13,11,2,507.7,356.7,69,37
Colorado ,Pac-12,2013,12,4,8,369.9,468,36,58
Duke ,ACC,2013,14,10,4,426.1,418,60,48
East Carolina ,C-USA,2013,13,10,3,468.2,368.8,68,39
Eastern Michigan ,MAC,2013,12,2,10,336.1,510.8,30,71
Florida International ,C-USA,2013,12,1,11,219,429.7,13,57
Florida Atlantic ,C-USA,2013,12,6,6,381.3,325.9,41,32
Florida ,SEC,2013,12,4,8,316.7,314.3,27,27
Florida State ,ACC,2013,14,14,0,519.1,281.4,94,21
Georgia ,SEC,2013,13,8,5,484.2,375.5,58,47
Georgia Tech ,ACC,2013,13,7,6,429.7,360.2,61,38
Houston ,AAC,2013,13,8,5,419.5,415.8,54,34
Idaho ,FBS Independent,2013,12,1,11,368.3,529.4,27,76
Illinois ,Big Ten,2013,12,4,8,426.7,481.5,45,55
Indiana ,Big Ten,2013,12,5,7,508.5,527.9,62,63
